uniprot_id lasso_type                  365 381 691 693 830 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A0V1AFD2 LSLS2++,3-++                 +   +   +   +   +  365-691 309-635  26-783 75.5 74.2 72.6 20.2 73.3 20.2 PF03137 SSF103473
A0A0V1C2E7 LSLS2++,3-++                 +   +   +   +   +  365-691 344-670  57-818 80.1 76.8 72.4 20.7 71.7 20.7 PF03137 SSF103473
A0A0V1HQL6 LSLS2++,3-++                 +   +   +   +   +  365-691 312-638  29-786 79.7 76.5 72.4 20.3 73.1 20.3 PF03137 SSF103473
A0A0V0X940 LSLS2++,3-++                 +   +   +   +   +  365-691 332-658  53-806 78.9 76.4 72.4 20.5 72.0 20.5 PF03137 SSF103473
A0A0V1DH92 LSLS2++,3-++                 +   +   +   +   +  365-691 309-635  30-783 81.7 78.2 72.7 20.3 73.4 20.3 PF03137 SSF103473
A0A0V1EN67 LSLS2++,3-++                 +   +   +   +   +  365-691 310-636  26-784 81.2 80.4 72.6 20.0 73.4 20.0 PF03137 SSF103473
A0A0V1N2K0 LSLS2++,3-++                 +   +   +   +   +  365-691 309-635  29-783 80.8 78.1 72.5 20.4 73.3 20.4 PF03137 SSF103473
A0A0V0UB41 LSLS2++,3-++                 +   +   +   +   +  365-691 309-635  26-783 80.3 76.9 73.1 20.2 73.7 20.2 PF03137 SSF103473
A0A0V0VSN7 LSLS2++,3-++                 +   +   +   +   +  365-691 309-635  29-783 80.1 77.3 73.2 20.7 73.9 20.7 PF03137 SSF103473
A0A0V0YL19 LSLS2++,3-++                 +   +   +   +   +  365-691 310-636  26-784 81.4 79.9 72.1 20.4 72.8 20.4 PF03137 SSF103473
A0A0V1PFN9 LSLS2++,3-++                 +   +   +   +   +  365-691 309-635  26-783 79.9 79.8 72.7 19.9 73.3 19.9 PF03137 SSF103473
A0A0V0UAV6 LSLS2++,3-++                 +   +   +   +   +  365-693 309-637  26-752 55.7 58.5 71.0 20.1 71.8 20.1 PF03137 SSF103473
A0A0V0VSM2 LSLS2++,3-++                 +   +   +   +   +  365-693 309-637  29-752 49.6 50.5 69.3 20.9 70.3 20.9 PF03137 SSF103473
A0A0V0VSN0 LSL2++,-1                    +   +   -   -   +  381-830 325-730  26-783 58.6 59.1 71.2 21.1 71.3 21.1 PF03137 SSF103473
A0A0V1AFE2 LSLS2++,3-++                 +   +   +   +   +  365-693 309-637  30-752 50.7 55.2 69.4 20.1 70.4 20.1 PF03137 SSF103473
A0A0V1LLF5 LSLS2++,2++                  +   +   +   +   +  365-693 332-660  52-775 52.7 56.6 70.5 20.8 70.2 20.8 PF03137 SSF103473
A0A0V1DHZ5 LSLS2++,3-++                 +   +   +   +   +  365-693 309-637  29-711 49.2 53.0 68.7 20.7 70.7 20.7 PF03137 SSF103473
A0A0V1HPM2 LSLS2++,3-++                 +   +   +   +   +  365-693 312-640  30-755 55.1 58.6 69.8 20.4 70.9 20.4 PF03137 SSF103473
A0A0V0S8X4 -                            +   +   +   +   +     -       -       -    -    -    -    -    72.0 20.1 PF03137 SSF103473
A0A0V0X918 -                            +   +   +   +   +     -       -       -    -    -    -    -    68.8 20.3 PF03137 SSF103473
A0A0V1FRA8 -                            +   +   +   +   +     -       -       -    -    -    -    -    70.0 20.3 PF03137 SSF103473
A0A0V1JCJ5 -                            +   +   +   +   +     -       -       -    -    -    -    -    66.4 20.4 PF03137 SSF103473
A0A1Y3EH65 -                            +   +   -   -   +     -       -       -    -    -    -    -    68.5 20.2 PF03137 SSF103473
