uniprot_id lasso_type                  48 347 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A7X2JFX4 LS3+--C                      +   +   48-347  33-332  33-468 92.2 94.3 93.1 36.6 91.9 36.6 PF00082 SSF52743
A0A3A6HVI3 LS5+--+-C                    +   +   48-347  48-347  48-484 91.2 94.5 94.0 37.6 93.5 37.6 PF00082 SSF52743
A0A4P6LT62 LS5+--+-C                    +   +   48-347  49-348  49-485 93.5 93.4 93.4 38.2 92.8 38.2 PF00082 SSF52743
A0A1I3BMM0 LS5+--+-C                    +   +   48-347  48-347  48-484 91.9 94.4 94.4 47.1 93.8 47.1 PF00082 SSF52743
A0A416I4D9 LS5+--+-C                    +   +   48-347  48-347  48-485 94.4 94.8 93.2 38.8 92.2 38.8 PF00082 SSF52743
A0A174L0J8 LS5+--+-C                    +   +   48-347  49-348  49-485 92.9 94.1 93.5 36.8 92.6 36.8 PF00082 SSF52743
A0A1E3UNX3 LS5+--+-C                    +   +   48-347  48-347  48-484 93.8 95.0 93.6 34.6 93.3 34.6 PF00082 SSF52743
F7K9J1     LS5+--+-C                    +   +   48-347  48-347  48-497 93.1 95.0 94.0 46.8 93.4 46.0 PF00082 SSF52743
A0A1E3ALQ7 LS5+--+-C                    +   +   48-347  48-347  48-484 92.8 95.2 93.8 37.2 93.3 37.2 PF00082 SSF52743
F0YZI0     LS5+--+-C                    +   +   48-347  33-332  33-468 92.7 93.9 93.0 33.8 91.2 28.4 PF00082 SSF52743
A0A1E3ADH7 -                            +   -     -       -       -    -    -    -    -    85.8 58.9 - SSF52743
