uniprot_id lasso_type                  248 442 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A1F7SY12 LS4--+-N                     +   +  248-442 220-409 138-409 98.6 98.8 91.1 51.1 90.0 36.9 PF01547 SSF53850
A0A1F7TCW7 LS2--N                       +   +  248-442 216-405 133-405 98.6 98.8 93.8 74.2 92.3 38.5 PF01547 SSF53850
A0A2V6VCN5 LS2--N                       +   +  248-442 247-439 108-439 98.3 98.6 94.1 60.8 88.8 33.3 PF01547 SSF53850
A0A2V7BBS6 LS2--N                       +   +  248-442 247-439 108-439 98.4 98.7 94.3 57.5 89.2 34.7 PF01547 SSF53850
A0A1F7SWM9 LS2--N                       +   +  248-442 224-416 143-416 98.4 98.7 91.1 55.3 89.2 34.0 PF13416 SSF53850
A0A1F7TD82 LS2--N                       +   +  248-442 161-353  80-353 98.4 98.6 92.3 64.8 92.0 60.2 PF01547 SSF53850
A0A1Q7U4P3 LS2--N                       +   +  248-442 180-372  41-372 98.5 98.8 93.9 53.8 93.5 53.8 PF13416 SSF53850
A0A1F7SWN3 LS2--N                       +   +  248-442 224-416 143-416 98.6 98.8 95.3 79.8 91.8 35.2 PF01547 SSF53850
A0A1F7TBG8 LS2--N                       +   +  248-442 222-414 141-414 98.4 98.7 93.2 58.5 90.8 37.3 PF13416 SSF53850
A0A1Q7ESR9 LS2--N                       +   +  248-442 226-415 145-415 98.4 98.7 93.1 57.9 90.5 32.1 PF01547 SSF53850
A0A2V7DPC5 LS2--N                       +   +  248-442 224-416  85-416 98.4 98.7 94.1 64.2 91.3 32.1 PF01547 SSF53850
A0A845CEL9 LS4--+-N                     +   +  248-442 225-417 144-417 98.6 98.8 94.4 71.7 91.1 32.9 PF01547 SSF53850
A0A1Q7GAD4 -                            +   -     -       -       -    -    -    -    -    83.6 22.4 PF01547 SSF53850
A0A932I4W8 -                            +   +     -       -       -    -    -    -    -    -    -    PF01547 SSF53850
A0A932ZWR5 -                            +   +     -       -       -    -    -    -    -    -    -    PF01547 SSF53850
A0A931YUY2 -                            +   +     -       -       -    -    -    -    -    -    -    PF01547 SSF53850
A0A9E4EXX0 -                            +   +     -       -       -    -    -    -    -    -    -    PF01547 SSF53850
