uniprot_id lasso_type                  369 764 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
X5LPS1     LSLS2++,3-++                 +   +  369-764 209-577 119-730 64.6 85.4 80.7 25.4 75.5 22.8 PF03137 SSF103473
X5LX59     LSLS2++,3-++                 +   +  369-764 151-519  61-673 63.7 82.2 79.2 24.5 77.7 24.5 PF03137 SSF103473
A0A016SUT2 LSLS2++,3-++                 +   +  369-764 226-591 136-746 59.8 79.1 79.0 25.2 73.6 22.3 PF03137 SSF103473
A0A1I7UAN6 LSLS2++,3-++                 +   +  369-764 209-577 119-730 66.8 81.1 79.5 26.8 74.2 20.3 PF03137 SSF103473
A0A2A2LMJ7 LSLS2++,3-++                 +   +  369-764 200-569 110-730 77.2 85.1 77.6 22.3 74.0 20.1 PF03137 SSF103473
A0A6F7Q2G4 LSLS2++,3-++                 +   +  369-764 209-574 119-728 71.6 83.7 79.7 24.4 75.5 21.8 PF03137 SSF103473
A0A016SV58 LSLS2++,3-++                 +   +  369-764 227-592 137-746 70.3 83.0 78.6 23.0 73.4 21.1 PF03137 SSF103473
A0A261CRW2 LSLS2++,3-++                 +   +  369-764 209-578 119-731 70.1 84.0 80.3 24.0 75.1 19.7 PF03137 SSF103473
A0A261B8J5 LSLS2++,3-++                 +   +  369-764 209-578 119-690 76.1 83.0 79.4 24.7 75.2 21.0 PF03137 SSF103473
A0A2G5SRH6 LSLS2++,3-++                 +   +  369-764 209-578 119-731 72.3 83.3 78.9 23.5 73.8 19.7 PF03137 SSF103473
A0A2P4WN76 LSLS4++-+,3-++               +   +  369-764 209-578 119-690 72.1 84.6 80.6 25.4 76.1 20.4 PF03137 SSF103473
G0M7B6     LSLS2++,3-++                 +   +  369-764 209-577 119-730 66.2 82.4 79.0 24.7 73.9 20.5 PF03137 SSF103473
A0A2A2J246 LSLS4++-+,3-++               +   +  369-764 200-522 110-634 58.7 80.4 74.7 22.1 71.0 20.3 PF03137 SSF103473
A0A6A5FYC1 LSLS2++,3-++                 +   +  369-764 209-578 119-731 71.3 82.8 79.6 23.4 74.5 20.3 PF03137 SSF103473
A8XJA8     -                            +   +  369-764 212-581 122-734 65.4 82.9 78.5 25.1 72.7 19.6 PF03137 SSF103473
E3LCY7     -                            +   +  369-764 214-583 124-737 76.3 83.4 78.5 23.2 72.6 20.1 PF03137 SSF103473
A0A368G8C1 -                            -   +     -       -       -    -    -    -    -    72.7 23.4 PF03137 SSF103473
A0A016SU87 -                            +   -     -       -       -    -    -    -    -    74.6 22.6 PF03137 SSF103473
F1KSM1     -                            +   +     -       -       -    -    -    -    -    69.8 19.9 PF03137 SSF103473
A0A016SV80 -                            +   -     -       -       -    -    -    -    -    73.8 21.3 PF03137 SSF103473
A0A2A6B4Q8 -                            +   +     -       -       -    -    -    -    -    62.6 19.2 PF03137 SSF103473
A0A8S1ESV1 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A8S1ELA9 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A915H6F7 -                            +   -     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A8R1DZ66 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A8S1EIG0 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A915H543 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A915AKG5 -                            -   -     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A915AIU1 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
