uniprot_id lasso_type                  201 486 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
T1I8L4     LSLS2++,3-++                 +   +  201-486 136-416  30-562 56.8 71.6 84.0 32.6 84.4 32.6 PF03137 SSF100895,SSF103473
T1IDL3     LSLS2++,3-++                 +   +  201-486 142-424  36-580 64.2 72.1 81.4 38.2 80.1 25.2 PF03137 SSF100895,SSF103473
A0A146KWP1 LSLS2++,3-++                 +   +  201-486 130-413  20-519 64.4 77.6 82.0 37.0 82.0 37.0 PF07648,PF03137 SSF100895,SSF103473
A0A0A9XNJ6 LSLS2++,3-++                 +   +  201-486 179-462  72-608 68.2 79.6 82.9 32.3 78.7 22.2 PF03137 SSF100895,SSF103473
A0A146LM72 LSLS2++,3-++                 +   +  201-486 179-462  72-608 69.2 79.8 82.1 37.3 77.6 22.1 PF03137 SSF100895,SSF103473
A0A224XLG1 LSLS2++,3-++                 +   +  201-486 132-414  36-560 74.9 84.2 85.6 41.3 83.2 26.3 PF03137 SSF100895,SSF103473
A0A0A9XW63 -                            -   +     -       -       -    -    -    -    -    83.1 31.4 PF03137 SSF100895,SSF103473
A0A0K8T5J4 -                            -   +     -       -       -    -    -    -    -    84.3 31.8 PF03137 SSF100895,SSF103473
A0A8I6S9N4 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF100895,SSF103473
A0A8I6TDB7 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF100895,SSF103473
A0A8I6TFA9 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF100895,SSF103473
