uniprot_id lasso_type                  150 438 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A060SHZ8 LS4-++-C                     +   +  150-438  73-356  73-585 83.1 91.1 91.2 40.9 84.0 21.5 PF07687,PF01546 SSF55031,SSF53187
A0A4R0RKS2 LS4-++-C                     +   +  150-438  22-305  22-542 88.6 93.0 93.1 43.7 91.3 23.6 PF07687,PF01546 SSF55031,SSF53187
A0A5C2SJM9 LS4-++-C                     +   +  150-438  57-340  57-568 87.7 93.6 95.0 66.0 89.1 24.5 PF07687,PF01546 SSF55031,SSF53187
A0A5C2TH24 LS4-++-C                     +   +  150-438  57-340  57-568 86.6 94.2 95.1 61.9 89.0 24.0 PF07687,PF01546 SSF55031,SSF53187
A0A1Y2IZ75 LS4-++-C                     +   +  150-438  48-331  48-559 88.0 94.8 94.3 46.6 90.0 25.7 PF07687,PF01546 SSF55031,SSF53187
A0A2R6NE66 LS4-++-C                     +   +  150-438 117-400 117-624 87.6 95.2 95.4 54.1 84.3 23.5 PF07687,PF01546 SSF55031,SSF53187
A0A4Q9P005 LS4-++-C                     +   +  150-438 103-386 103-617 82.1 90.4 92.7 51.1 83.8 21.7 PF07687,PF01546 SSF55031,SSF53187
A0A4S4M4M9 LS4-++-C                     +   +  150-438 107-390 107-617 92.8 96.8 95.3 47.5 85.2 22.4 PF07687,PF01546 SSF55031,SSF53187
M2RKN3     LS4-++-C                     +   +  150-438  72-358  72-586 91.4 97.1 96.0 69.9 89.2 24.1 PF07687,PF01546 SSF55031,SSF53187
S7RPY4     LS4-++-C                     +   +  150-438  30-313  30-534 88.9 94.6 94.7 58.8 91.4 22.3 PF07687,PF01546 SSF55031,SSF53187
A0A067PB54 LS4-++-C                     +   +  150-438  71-354  71-578 91.7 96.1 95.5 63.0 88.3 25.8 PF07687,PF01546 SSF55031,SSF53187
A0A4Q9MW64 LS4-++-C                     +   +  150-438 103-386 103-617 83.1 91.4 91.8 50.0 82.4 21.3 PF07687,PF01546 SSF55031,SSF53187
