uniprot_id lasso_type                  52 354 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A354J9Y9 LS5+--+-C                    +   +   52-354  53-351  53-488 93.9 93.9 94.1 47.0 93.6 38.6 PF00082 SSF52743
A9KP07     LS5+--+-C                    +   +   52-354  31-329  31-465 94.0 95.2 94.2 42.6 92.8 26.0 PF00082 SSF52743
A0A2V3Y0F6 LS5+--+-C                    +   +   52-354  48-346  48-482 91.9 94.1 93.9 45.5 93.6 45.5 PF00082 SSF52743
A0A350VE74 LS5+--+-C                    +   +   52-354  53-351  53-501 93.7 94.3 93.8 35.3 93.2 35.3 PF00082 SSF52743
A0A3D2X2E0 LS5+--+-C                    +   +   52-354  31-329  31-466 94.1 95.2 94.6 46.1 93.5 30.7 PF00082 SSF52743
A0A4V2QCA5 LS5+--+-C                    +   +   52-354  48-346  48-483 90.2 92.4 94.8 40.8 94.5 40.8 PF00082 SSF52743
A0A7V7QP14 LS5+--+-C                    +   +   52-354  36-337  36-474 92.8 93.9 94.0 44.7 93.5 44.7 PF00082 SSF52743
A0A844JBR4 LS5+--+-C                    +   +   52-354  19-317  19-453 87.4 92.0 94.0 41.8 93.5 41.8 PF00082 SSF52743
E7GKH4     LS5+--+-C                    +   +   52-354  37-335  37-483 94.9 95.0 94.7 56.8 93.7 40.0 PF00082 SSF52743
A0A084JFF6 LS5+--+-C                    +   +   52-354  48-346  48-482 88.8 91.2 94.4 41.6 93.7 40.7 PF00082 SSF52743
A0A1C6KJ61 LS5+--+-C                    +   +   52-354  37-335  37-474 92.2 93.7 94.3 55.2 93.4 38.2 PF00082 SSF52743
A0A2M8Z5G5 LS5+--+-C                    +   +   52-354  48-346  48-483 86.7 90.9 93.7 36.3 93.2 36.3 PF00082 SSF52743
A0A316A5U0 LS5+--+-C                    +   +   52-354  53-351  53-487 87.8 92.5 94.3 52.5 93.7 36.6 PF00082 SSF52743
A0A3A6HWS0 LS5+--+-C                    +   +   52-354  39-337  39-487 93.1 94.5 93.9 39.4 93.1 39.4 PF00082 SSF52743
A0A3E2NJ97 LS5+--+-C                    +   +   52-354  19-317  19-453 90.4 93.2 94.6 43.3 94.1 43.3 PF00082 SSF52743
A0A5M8BPM7 LS5+--+-C                    +   +   52-354  37-335  37-473 93.7 93.6 94.3 47.0 93.3 39.2 PF00082 SSF52743
A0A1E3ACT0 LS5+--+-C                    +   +   52-354  50-348  50-498 95.0 95.5 94.2 38.1 93.2 38.1 PF00082 SSF52743
A0A1E3AL24 LS5+--+-C                    +   +   52-354  50-348  50-485 94.3 94.9 94.1 35.5 93.3 35.5 PF00082 SSF52743
A0A1I3BF18 LS5+--+-C                    +   +   52-354  50-348  50-485 94.4 95.1 94.1 37.0 93.1 37.0 PF00082 SSF52743
A0A315ZTQ1 LS5+--+-C                    +   +   52-354  53-351  53-487 88.2 92.2 93.9 42.2 93.3 36.2 PF00082 SSF52743
A0A371ARW4 LS5+--+-C                    +   +   52-354  12-312  12-450 91.2 93.8 93.6 41.7 93.3 41.7 PF00082 SSF52743
A0A3E3DFP2 LS5+--+-C                    +   +   52-354  48-346  48-482 87.1 93.4 94.0 51.2 93.7 51.2 PF00082 SSF52743
A0A4R3JZV3 LS5+--+-C                    +   +   52-354  53-351  53-488 93.0 94.2 94.0 48.9 93.3 33.6 PF00082 SSF52743
U2C336     -                            +   +   52-354  27-325  27-464 94.9 94.4 94.3 51.3 93.7 28.4 PF00082 SSF52743
A0A2S6HML8 -                            +   +   52-354  47-345  47-482 89.6 91.9 94.4 41.8 94.1 41.8 PF00082 SSF52743
A0A316AM29 -                            +   +   52-354  48-346  48-483 95.5 95.1 94.3 45.4 94.2 45.4 PF00082 SSF52743
A0A352P3R9 -                            +   +   52-354  48-346  48-483 83.9 90.0 93.8 40.4 93.1 39.0 PF00082 SSF52743
A0A374P8N8 -                            +   +   52-354  48-346  48-482 88.5 93.5 93.6 47.4 93.6 47.4 PF00082 SSF52743
A0A3D1FS18 -                            +   +   52-354  45-343  45-479 93.2 94.9 94.8 54.6 94.1 35.9 PF00082 SSF52743
A0A413JN87 -                            +   +   52-354  37-335  37-474 94.0 93.9 94.3 47.9 93.4 38.0 PF00082 SSF52743
A0A6N3H8E3 -                            +   +   52-354  37-335  37-487 93.8 94.0 94.2 49.2 93.1 38.1 PF00082 SSF52743
A0A7M2RNV1 -                            +   +   52-354  48-347  48-484 96.6 96.3 94.8 40.7 94.3 40.7 PF00082 SSF52743
A0A3D4K2Q7 -                            -   +     -       -       -    -    -    -    -    94.6 67.7 PF00082 SSF52743
A0A3D4K293 -                            +   -     -       -       -    -    -    -    -    89.8 37.9 PF00082 SSF52743
