uniprot_id lasso_type                  140 474 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
X5LV99     LSLS2++,3-++                 +   +  140-474 130-426  41-568 81.3 79.4 86.0 49.5 83.0 26.8 PF03137 SSF103473
X5M903     LSLS2++,3-++                 +   +  140-474 130-426  42-568 79.0 76.3 83.2 37.0 81.1 25.0 PF03137 SSF103473
A0A1I7TIK2 LSLS2++,3-++                 +   +  140-474 130-426  41-567 79.0 77.1 82.9 34.6 81.1 29.5 PF03137 SSF103473
G0M887     LSLS2++,3-++                 +   +  140-474 130-426  41-568 80.2 78.8 83.7 37.6 80.9 24.1 PF03137 SSF103473
A0A261BDZ0 LSLS2++,2++                  +   +  140-474 132-428  38-562 79.0 76.8 83.1 41.9 80.2 23.8 PF03137 SSF103473
A8XK41     LSLS2++,2++                  +   +  140-474 130-426  38-567 84.0 80.1 84.8 38.0 79.6 21.5 PF03137 SSF103473
E3LED1     LSLS2++,3-++                 +   +  140-474 130-456  42-599 55.4 64.8 79.3 29.4 78.1 29.4 PF03137 SSF103473
A0A261CQM5 LSLS2++,2++                  +   +  140-474 130-433  41-576 80.5 77.4 83.6 43.9 81.1 28.8 PF03137 SSF103473
A0A2G5STB4 LSLS2++,3-++                 +   +  140-474 130-426  41-560 80.6 78.8 84.1 39.3 81.9 26.7 PF03137 SSF103473
A0A2P4WLF2 LSLS2++,2++                  +   +  140-474 130-426  41-567 80.8 78.9 84.4 34.8 81.4 21.9 PF03137 SSF103473
A0A6A5FYW2 -                            +   +     -       -       -    -    -    -    -    79.6 25.7 PF03137 SSF103473
A0A8R1DN57 -                            +   -     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A8S1EJL6 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A8S1HGJ0 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
