uniprot_id lasso_type                  173 496 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
B7Q7G0     LS3-++C                      +   +  173-496  86-393  86-540 80.2 82.8 78.7 27.8 78.0 26.7 PF03137 SSF103473
A0A1E1X747 LS3-++C                      +   +  173-496  85-379  16-523 75.2 80.1 78.7 24.5 79.1 24.5 PF03137 SSF103473
A0A1E1X569 LS3-++C                      +   +  173-496  83-379  83-527 78.4 81.1 80.3 27.9 77.6 27.8 PF03137 SSF103473
A0A1E1XVA7 LS3-++C                      +   +  173-496  83-379  83-527 77.3 78.8 79.7 30.0 76.3 24.1 PF03137 SSF103473
V5GF11     LSLS2++,3-++                 +   +  173-496 141-439  35-587 78.1 79.5 79.1 28.2 79.0 28.2 PF03137 SSF103473
V5H8F9     LS3-++C                      +   +  173-496  86-384  17-531 75.7 80.3 78.3 27.7 78.4 27.7 PF03137 SSF103473
A0A1E1XPA6 LS3-++C                      +   +  173-496  85-379  20-523 81.1 82.6 78.4 23.8 78.2 23.8 PF03137 SSF103473
A0A293N3P5 LSLS2++,3-++                 +   +  173-496 167-464  62-613 59.4 75.2 80.9 26.7 79.7 26.7 PF03137 SSF103473
A0A0E9Y372 LSLS2++,3-++                 +   +  173-496 168-464  64-612 78.7 81.1 79.7 26.4 77.8 26.4 PF03137 SSF103473
A0A023GLI3 -                            +   +     -       -       -    -    -    -    -    74.8 25.1 PF03137 SSF103473
A0A1E1X9B8 -                            +   +     -       -       -    -    -    -    -    77.4 24.9 PF03137 SSF103473
A0A9D4PQ75 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A9D4SUJ9 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
