uniprot_id lasso_type                  191 658 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A151NLW0 LSLS2++,3-++                 +   +  191-658 159-472  61-622 83.0 77.1 82.6 34.0 79.4 24.2 PF07648,PF03137 SSF100895,SSF103473
A0A7K5IDN0 LSLS2++,3-++                 +   +  191-658 111-401  16-549 79.5 77.2 83.0 32.9 83.7 32.9 PF07648,PF03137 SSF100895,SSF103473
M3XK54     LSL2++,-2                    +   +  191-658 138-451  43-540 82.3 78.4 83.1 30.6 80.6 26.4 PF07648,PF03137 SSF100895,SSF103473
A0A3Q0FNC7 LSLS2++,3-++                 +   +  191-658 137-450  39-600 82.8 77.8 82.8 36.2 80.8 28.5 PF07648,PF03137 SSF100895,SSF103473
A0A669QDN1 LSLS2++,3-++                 +   +  191-658 137-451  42-561 78.6 77.6 82.1 35.9 80.8 25.2 PF07648,PF03137 SSF100895,SSF103473
A0A6P7XTM0 LSLS2++,3-++                 +   +  191-658 136-565  34-722 84.6 83.0 73.8 20.9 72.4 20.9 PF07648,PF03137 SSF100895,SSF103473
A0A6P7XY14 LSLS2++,3-++                 +   +  191-658 159-477  61-627 82.4 79.6 80.6 29.5 77.4 25.5 PF07648,PF03137 SSF100895,SSF103473
A0A7L2LKG9 LSLS2++,3-++                 +   +  191-658 111-399  13-509 82.6 78.6 83.2 34.1 84.2 34.1 PF07648,PF03137 SSF100895,SSF103473
A0A852BFN2 LSLS2++,3-++                 +   +  191-658 116-410  13-555 80.6 76.7 82.6 29.2 83.0 29.2 PF07648,PF03137 SSF100895,SSF103473
A0A3Q0FT01 LSLS2++,3-++                 +   +  191-658 160-473  65-623 81.1 76.0 82.0 35.9 78.3 21.6 PF07648,PF03137 SSF100895,SSF103473
A0A6P7XZC8 LSLS2++,3-++                 +   +  191-658 136-598  35-755 84.9 83.2 71.6 20.2 71.9 20.2 PF07648,PF03137 SSF100895,SSF103473
A0A7L0YUA9 LSLS2++,3-++                 +   +  191-658 111-404  16-552 78.0 74.8 82.8 29.6 83.5 29.6 PF07648,PF03137 SSF100895,SSF103473
H0ZTB1     LSLS2++,3-++                 +   +  191-658 137-450  39-598 78.7 75.9 82.1 32.3 80.7 28.2 PF07648,PF03137 SSF100895,SSF103473
A0A3L8SL58 LSLS2++,3-++                 +   +  191-658 165-478  67-627 78.3 74.3 82.7 34.0 78.9 23.2 PF07648,PF03137 SSF100895,SSF103473
A0A3M0JL00 LSL2++,-2                    +   +  191-658 166-479  68-567 80.9 77.9 81.7 29.1 75.5 23.7 PF07648,PF03137 SSF100895,SSF103473
A0A6P7XYP3 LSLS2++,3-++                 +   +  191-658 136-476  38-629 84.7 83.4 80.5 25.7 77.5 22.7 PF07648,PF03137 SSF100895,SSF103473
A0A7K5MNH9 LSLS2++,3-++                 +   +  191-658 111-401  13-508 79.2 75.7 83.0 31.0 84.0 31.0 PF07648,PF03137 SSF100895,SSF103473
A0A7L1UBU8 LSLS2++,3-++                 +   +  191-658 111-404  13-551 78.9 74.8 82.5 29.2 82.9 29.2 PF07648,PF03137 SSF100895,SSF103473
A0A7L2D2X9 LSLS2++,3-++                 +   +  191-658 111-398  16-546 80.5 77.6 82.4 33.0 82.8 33.0 PF07648,PF03137 SSF100895,SSF103473
A0A7L2P490 LSLS2++,3-++                 +   +  191-658 111-394  16-501 81.8 77.1 83.3 34.6 84.4 34.6 PF07648,PF03137 SSF100895,SSF103473
A0A7L3Q7Y6 -                            +   +  191-658 116-405  13-550 78.9 76.9 82.3 27.2 82.6 27.2 PF07648,PF03137 SSF100895,SSF103473
A0A850YMW1 -                            +   +  191-658 111-392  13-499 79.1 74.2 82.8 30.5 83.8 30.5 PF07648,PF03137 SSF100895,SSF103473
A0A218UCQ4 -                            +   +  191-658 127-442  29-590 77.8 74.9 79.6 31.4 78.1 27.5 PF07648,PF03137 SSF100895,SSF103473
A0A6P7XK67 -                            +   +  191-658 136-598  38-773 83.8 82.2 72.0 21.0 70.5 21.0 PF07648,PF03137 SSF100895,SSF103473
A0A6P7XRZ8 -                            +   +  191-658 136-443  41-596 84.4 82.8 83.3 34.0 79.8 24.7 PF07648,PF03137 SSF100895,SSF103473
A0A7L1M465 -                            +   +  191-658 111-393  13-541 80.8 76.2 83.6 34.4 84.2 34.4 PF07648,PF03137 SSF100895,SSF103473
A0A7L1QDN6 -                            +   +  191-658 111-394  16-541 77.9 73.4 82.1 30.8 82.8 30.8 PF07648,PF03137 SSF100895,SSF103473
A0A851KR32 -                            +   +  191-658 111-408  13-557 74.8 72.1 80.7 28.3 81.0 28.3 PF07648,PF03137 SSF100895,SSF103473
A0A852HZ79 -                            +   +  191-658 111-405  13-550 80.8 75.1 83.0 30.7 83.3 30.7 PF07648,PF03137 SSF100895,SSF103473
H3ABP2     -                            +   +  191-658 115-427  20-576 82.6 82.1 83.5 24.8 82.3 24.8 PF07648,PF03137 SSF100895,SSF103473
A0A8V0XD61 -                            +   +     -       -       -    -    -    -    -    -    -    PF07648,PF03137 SSF100895,SSF103473
A0A8V0X3K2 -                            +   +     -       -       -    -    -    -    -    -    -    PF07648,PF03137 SSF100895,SSF103473
A0A8C0U3Y8 -                            +   +     -       -       -    -    -    -    -    -    -    PF07648,PF03137 SSF100895,SSF103473
A0A8V0XA28 -                            +   +     -       -       -    -    -    -    -    -    -    PF07648,PF03137 SSF100895,SSF103473
A0A8V0XD68 -                            +   +     -       -       -    -    -    -    -    -    -    PF07648,PF03137 SSF100895,SSF103473
A0A8C2T4C7 -                            +   +     -       -       -    -    -    -    -    -    -    PF07648,PF03137 SSF100895,SSF103473
A0A8V0X6Z8 -                            +   +     -       -       -    -    -    -    -    -    -    PF07648,PF03137 SSF100895,SSF103473
