uniprot_id lasso_type                  119 425 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
E6ZUN2     LS4-++-C                     +   +  119-425  71-369  71-615 84.9 91.8 90.5 31.4 85.4 30.5 PF07687,PF01546 SSF55031,SSF53187
A0A1K0GWL2 LS4-++-C                     +   +  119-425  62-359  62-589 85.4 92.9 91.5 31.1 86.1 26.8 PF07687,PF01546 SSF55031,SSF53187
A0A4U7KSY9 LS4-++-C                     +   +  119-425  73-372  73-619 84.8 92.1 91.0 27.4 85.6 27.4 PF07687,PF01546 SSF55031,SSF53187
A0A0F7SBW7 LS4-++-C                     +   +  119-425  70-368  70-617 77.7 89.7 91.6 32.4 87.1 30.2 PF07687,PF01546 SSF55031,SSF53187
A0A0D1DNZ5 LS4-++-C                     +   +  119-425  74-369  74-610 87.4 92.7 91.3 29.7 85.9 29.2 PF07687,PF01546 SSF55031,SSF53187
A0A2N8UM31 LS4-++-C                     +   +  119-425  71-369  71-615 85.6 92.6 91.2 34.1 86.4 28.1 PF07687,PF01546 SSF55031,SSF53187
W3VGH2     LS4-++-C                     +   +  119-425  79-370  79-603 86.2 93.2 91.6 37.9 84.6 23.7 PF07687,PF01546 SSF55031,SSF53187
I2FXL8     LS4-++-C                     +   +  119-425  62-359  62-596 84.3 93.0 92.2 33.3 86.8 27.1 PF07687,PF01546 SSF55031,SSF53187
V5GIE4     LS4-++-C                     +   +  119-425  70-368  70-613 84.1 92.8 91.1 35.9 86.2 27.4 PF07687,PF01546 SSF55031,SSF53187
A0A081CBX4 LS4-++-C                     +   +  119-425  79-370  79-603 85.3 93.6 91.2 39.3 84.8 23.5 PF07687,PF01546 SSF55031,SSF53187
R9PLB5     LS4-++-C                     +   +  119-425 106-404 106-643 84.4 92.2 90.7 34.3 82.2 21.9 PF07687,PF01546 SSF55031,SSF53187
A0A317XUZ9 LS4-++-C                     +   +  119-425   8-306   8-552 77.8 92.4 92.2 33.9 91.7 27.8 PF07687,PF01546 SSF55031,SSF53187
A0A5C3ERZ2 LS4-++-C                     +   +  119-425  70-368  70-616 82.9 92.1 91.5 43.7 86.3 25.9 PF07687,PF01546 SSF55031,SSF53187
M9MBA7     LS4-++-C                     +   +  119-425  79-370  79-603 87.8 93.9 93.2 36.7 86.3 24.1 PF07687,PF01546 SSF55031,SSF53187
A0A077RAR3 LS4-++-C                     +   +  119-425  69-365  69-612 86.9 92.8 91.9 45.1 86.6 30.2 PF07687,PF01546 SSF55031,SSF53187
A0A5C3E3B8 LS4-++-C                     +   +  119-425  70-368  70-614 81.2 91.7 90.8 39.2 85.0 27.3 PF07687,PF01546 SSF55031,SSF53187
A0A8H8QS84 -                            -   -     -       -       -    -    -    -    -    -    -    PF07687 SSF55031,SSF53187
