uniprot_id lasso_type                  131 418 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A1Y2IQX3 LS4-++-C                     +   +  131-418 102-388 102-612 89.0 94.9 95.7 68.0 86.0 22.8 PF07687,PF01546 SSF55031,SSF53187
A0A2G8RU00 LS4-++-C                     +   +  131-418 100-385 100-610 93.0 95.9 95.1 66.0 85.6 23.6 PF07687,PF01546 SSF55031,SSF53187
M2R3W1     LS4-++-C                     +   +  131-418  98-382  98-604 92.1 95.4 94.9 60.7 86.5 23.7 PF07687,PF01546 SSF55031,SSF53187
A0A060SM20 LS4-++-C                     +   +  131-418 107-393 107-617 91.1 94.8 95.8 77.0 85.6 23.1 PF07687,PF01546 SSF55031,SSF53187
A0A1Y2IR21 LS4-++-C                     +   +  131-418  83-369  83-603 92.8 95.6 93.3 43.1 86.2 22.6 PF07687,PF01546 SSF55031,SSF53187
A0A4Q9Q1B6 LS4-++-C                     +   +  131-418 100-386 100-739 94.0 96.4 83.6 28.8 77.8 25.9 PF07687,PF01546 SSF53187
A0A4V2K0Y6 LS4-++-C                     +   +  131-418 100-386 100-740 93.4 96.2 84.0 26.6 78.1 26.6 PF07687,PF01546 SSF53187
A0A4Q9MVJ3 LS4-++-C                     +   +  131-418 104-389 104-624 91.9 96.3 95.2 49.0 85.6 24.6 PF07687,PF01546 SSF55031,SSF53187
A0A4Q9Q308 LS4-++-C                     +   +  131-418  90-375  90-612 91.2 96.1 95.3 51.6 87.1 25.2 PF07687,PF01546 SSF55031,SSF53187
A0A4Q9NU72 LS4-++-C                     +   +  131-418 104-389 104-624 91.4 95.9 95.2 53.0 85.6 24.7 PF07687,PF01546 SSF55031,SSF53187
A0A8E2AMM7 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
