uniprot_id lasso_type                  120 435 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A166D3U7 LS4-++-C                     +   +  120-435  72-355  72-582 92.9 95.2 94.3 47.2 87.5 25.3 PF07687,PF01546 SSF55031,SSF53187
S8DM60     LS4-++-C                     +   +  120-435  69-352  69-578 93.1 95.8 95.6 62.4 88.7 26.9 PF07687,PF01546 SSF55031,SSF53187
A0A0D0B9P4 LS4-++-C                     +   +  120-435  66-348  66-577 90.7 95.8 94.0 49.6 89.3 30.0 PF07687,PF01546 SSF55031,SSF53187
A0A286UJW0 LS3-++C                      +   +  120-435  93-376  93-563 91.2 93.7 93.7 48.0 81.5 21.2 PF07687,PF01546 SSF55031,SSF53187
D8QEK3     LS4-++-C                     +   +  120-435  12-295  12-527 94.1 97.1 94.3 45.0 93.5 31.2 PF07687,PF01546 SSF55031,SSF53187
A0A0C3BMW8 LS4-++-C                     +   +  120-435  34-317  34-538 92.0 96.3 94.8 41.7 91.2 24.8 PF07687,PF01546 SSF55031,SSF53187
A0A0D0AMV4 LS4-++-C                     +   +  120-435   6-313   6-541 90.1 95.6 91.7 38.7 91.6 38.7 PF07687,PF01546 SSF55031,SSF53187
A0A0D2L8S6 LS4-++-C                     +   +  120-435  64-347  64-576 87.8 94.4 94.2 46.5 88.2 28.4 PF07687,PF01546 SSF55031,SSF53187
A0A2R6NP45 LS4-++-C                     +   +  120-435  66-350  66-585 89.6 95.5 94.7 46.8 87.7 23.6 PF07687,PF01546 SSF55031,SSF53187
K5VT85     LS4-++-C                     +   +  120-435  67-350  67-580 93.0 95.9 94.8 48.5 89.9 29.2 PF07687,PF01546 SSF55031,SSF53187
A0A165UA79 LS4-++-C                     +   +  120-435  75-358  75-583 91.8 95.9 95.1 41.8 87.4 24.8 PF07687,PF01546 SSF55031,SSF53187
A0A5C2TP74 LS4-++-C                     +   +  120-435  71-354  71-581 94.2 97.1 94.8 42.5 89.1 29.7 PF07687,PF01546 SSF55031,SSF53187
A0A165MFN9 LS4-++-C                     +   +  120-435  68-351  68-574 91.3 95.3 95.5 60.7 89.9 31.9 PF07687,PF01546 SSF55031,SSF53187
A0A166PYI6 LS4-++-C                     +   +  120-435  15-298  15-527 90.1 95.1 95.0 54.3 93.7 22.6 PF07687,PF01546 SSF55031,SSF53187
A0A0D7B4D6 LS4-++-C                     +   +  120-435   8-291   8-521 93.5 96.7 94.8 55.8 94.7 55.8 PF07687,PF01546 SSF55031,SSF53187
A0A0H2RI08 LS4-++-C                     +   +  120-435  41-324  41-552 87.6 92.7 93.9 54.9 89.9 18.6 PF07687,PF01546 SSF55031,SSF53187
A0A5C3N3F9 LS4-++-C                     +   +  120-435  74-357  74-582 92.7 96.4 95.2 51.4 87.7 23.8 PF07687,PF01546 SSF55031,SSF53187
A0A0D7B8T4 LS4-++-C                     +   +  120-435  61-344  61-574 90.9 95.8 94.1 50.7 87.7 23.4 PF07687,PF01546 SSF55031,SSF53187
A0A5C2SMS6 -                            +   +  120-435  71-354  71-581 94.6 97.5 95.4 55.7 89.9 29.8 PF07687,PF01546 SSF55031,SSF53187
A0A6A4H0W7 -                            +   +  120-435  37-317  37-516 87.6 94.4 85.4 26.6 83.0 26.6 PF07687,PF01546 SSF53187
A0A0D7BAY8 -                            +   +  120-435  68-351  68-583 91.8 96.4 94.9 55.9 88.4 24.2 PF07687,PF01546 SSF55031,SSF53187
A0A0H2RIG0 -                            +   +  120-435  69-322  69-549 88.9 93.9 91.8 53.8 84.9 26.1 PF07687,PF01546 SSF55031,SSF53187
A0A4V4HGJ5 -                            +   +  120-435  93-376  93-629 90.3 94.8 91.1 31.4 82.4 23.9 PF07687,PF01546 SSF55031,SSF53187
A0A1Q3EC64 -                            +   +     -       -       -    -    -    -    -    87.3 25.1 PF07687,PF01546 SSF55031,SSF53187
A0A1Q3EC99 -                            +   +     -       -       -    -    -    -    -    88.2 24.9 PF07687,PF01546 SSF55031,SSF53187
A0A067P7B4 -                            -   +     -       -       -    -    -    -    -    93.3 35.8 PF07687,PF01546 SSF55031,SSF53187
A0A0D7AFS4 -                            -   +     -       -       -    -    -    -    -    91.2 24.2 PF07687,PF01546 SSF55031,SSF53187
A0A4S8M7Y9 -                            -   +     -       -       -    -    -    -    -    92.8 41.6 PF07687,PF01546 SSF55031,SSF53187
A0A8H5B0U2 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
A0A8H5H230 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
A0A8H5B1X2 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
A0A8H6ZNR0 -                            -   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
