uniprot_id lasso_type                  54 352 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A4V6NYY7 LS5+--+-C                    +   +   54-352  47-345  47-482 93.7 94.1 94.6 34.6 93.8 34.6 PF00082 SSF52743
A0A6N2T1E0 LS5+--+-C                    +   +   54-352  46-343  46-489 73.8 89.9 94.1 42.6 93.7 42.6 PF00082 SSF52743
A0A6N3A248 LS5+--+-C                    +   +   54-352  52-349  52-486 91.1 94.5 93.9 37.2 93.0 37.2 PF00082 SSF52743
A0A0U5NK20 LS5+--+-C                    +   +   54-352  43-341  43-477 92.4 93.6 94.8 37.2 94.0 37.2 PF00082 SSF52743
A0A2S6HM91 LS5+--+-C                    +   +   54-352  48-346  48-482 92.8 93.6 93.8 47.2 93.0 45.5 PF00082 SSF52743
A0A8B2XBT9 LS5+--+-C                    +   +   54-352  46-343  46-493 76.7 90.4 94.2 41.2 93.8 41.2 PF00082 SSF52743
R0AJG6     LS5+--+-C                    +   +   54-352  46-343  46-479 77.9 89.9 93.9 41.5 93.6 41.5 PF00082 SSF52743
A0A174KI53 LS5+--+-C                    +   +   54-352  52-349  52-486 91.1 94.1 93.9 34.8 93.1 34.8 PF00082 SSF52743
A0A1C6JSG2 LS5+--+-C                    +   +   54-352  52-349  52-486 89.2 92.3 93.7 34.7 92.8 34.7 PF00082 SSF52743
A0A413JR97 LS5+--+-C                    +   +   54-352  52-349  52-486 92.0 93.9 93.8 34.5 93.0 34.5 PF00082 SSF52743
A0A7M2RJK1 LS5+--+-C                    +   +   54-352  48-346  48-482 92.9 92.2 94.7 52.9 94.1 51.3 PF00082 SSF52743
A0A350VG48 LS3+--C                      +   +   54-352  47-345  47-404 91.6 92.8 92.7 37.5 92.4 37.5 PF00082 SSF52743
A0A4P6LTJ0 LS5+--+-C                    +   +   54-352  51-349  51-499 88.5 92.4 93.9 37.8 92.5 37.8 PF00082 SSF52743
A0A7M2RH01 LS5+--+-C                    +   +   54-352  49-347  49-484 95.2 95.8 94.3 31.9 94.0 31.9 PF00082 SSF52743
A0A844J857 LS5+--+-C                    +   +   54-352  35-333  35-469 88.4 91.1 93.6 42.7 92.6 42.7 PF00082 SSF52743
E7GQU7     LS5+--+-C                    +   +   54-352  52-349  52-486 91.4 94.3 93.9 33.3 93.1 33.3 PF00082 SSF52743
A0A374ADV6 LS5+--+-C                    +   +   54-352  51-349  51-486 88.8 93.1 94.5 51.3 93.1 43.5 PF00082 SSF52743
A0A419SUP9 LS5+--+-C                    +   +   54-352  48-346  48-482 86.5 91.7 95.0 41.1 94.4 41.1 PF00082 SSF52743
A0A6N7SKP0 LS5+--+-C                    +   +   54-352  51-349  51-486 90.4 93.2 94.3 41.6 93.0 41.6 PF00082 SSF52743
R5FE68     LS5+--+-C                    +   +   54-352  46-343  46-479 70.6 89.1 93.7 40.2 93.4 40.2 PF00082 SSF52743
U2DGK0     LS5+--+-C                    +   +   54-352  52-349  52-486 90.1 93.7 93.7 35.9 92.9 35.9 PF00082 SSF52743
