uniprot_id lasso_type                  225 402 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A354Q465 LS4--+-N                     +   +  225-402 222-399 147-399 84.6 78.2 93.6 49.9 89.3 31.7 PF01547 SSF53850
A0A3D3L4H1 LS4--+-N                     +   +  225-402 222-399 148-399 84.9 78.2 93.0 49.8 88.6 32.3 PF01547 SSF53850
A0A3D3X6I2 LS4--+-N                     +   +  225-402 224-401 151-401 88.6 82.4 94.1 69.8 89.9 36.6 PF01547 SSF53850
A0A2D4RX36 LS4--+-N                     +   +  225-402 226-403 152-403 88.4 83.9 93.1 53.7 89.3 32.0 PF13416 SSF53850
A0A355Q5H7 LS4--+-N                     +   +  225-402 226-403 153-403 87.6 83.4 93.6 55.7 89.6 33.5 PF13416 SSF53850
A0A3C1URF9 LS4--+-N                     +   +  225-402 226-403 152-403 87.6 83.8 92.7 53.8 89.2 31.2 PF13416 SSF53850
A0A520PL49 LS4--+-N                     +   +  225-402 226-403 152-403 90.1 88.1 94.0 64.2 89.8 32.3 PF13416 SSF53850
A0A2E5PXC6 -                            +   +     -       -       -    -    -    -    -    89.2 34.7 PF01547 SSF53850
A0A382KWW2 -                            +   +     -       -       -    -    -    -    -    91.7 45.5 PF13416 SSF53850
A0A3D5J9V4 -                            +   +     -       -       -    -    -    -    -    93.3 59.9 PF13416 SSF53850
A0A9E1U9G5 -                            +   +     -       -       -    -    -    -    -    -    -    PF13416 SSF53850
A0A2D6YLP4 -                            +   +     -       -       -    -    -    -    -    -    -    PF13416 SSF53850
