uniprot_id lasso_type                  329 655 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
Q95ZT3     LSLS2++,3-++                 +   +  329-655 233-528  21-674 88.8 88.0 84.3 30.6 84.0 30.6 PF07648,PF03137 SSF100895,SSF103473
Q20538     LSLS2++,3-++                 +   +  329-655 237-536  21-682 93.0 91.0 85.4 26.3 84.6 26.3 PF03137 SSF103473
A0A261CHZ3 LSLS2++,3-++                 +   +  329-655 240-539  21-685 90.8 88.2 84.1 24.9 83.4 24.9 PF03137 SSF100895,SSF103473
A0A2G5SXN6 LSLS2++,3-++                 +   +  329-655 232-531  21-677 91.1 88.1 84.5 28.8 83.6 28.8 PF03137 SSF100895,SSF103473
A0A1I7URV6 LSLS2++,3-++                 +   +  329-655 234-533  21-693 90.8 87.4 82.8 29.5 82.0 29.5 PF03137 SSF103473
A0A6A5G1E5 LSLS2++,3-++                 +   +  329-655 246-545  27-690 92.5 89.5 84.3 28.0 83.2 28.0 PF07648,PF03137 SSF100895,SSF103473
A0A1I7URV7 LSLS2++,3-++                 +   +  329-655 234-533  21-679 91.8 89.1 84.9 29.4 84.0 29.4 PF03137 SSF100895,SSF103473
A0A261B8P5 LSLS2++,3-++                 +   +  329-655 240-539  21-685 90.9 88.7 84.4 27.6 83.6 27.6 PF07648,PF03137 SSF100895,SSF103473
E3MRU9     LSLS2++,3-++                 +   +  329-655 246-552  27-698 91.5 88.7 82.6 25.7 81.8 25.7 PF07648,PF03137 SSF100895,SSF103473
A0A2P4WGZ5 LSLS2++,3-++                 +   +  329-655 246-545  27-690 91.1 88.4 84.4 31.6 83.4 31.6 PF07648,PF03137 SSF100895,SSF103473
A8WMG1     LSLS2++,3-++                 +   +  329-655 232-546  24-691 90.9 87.9 82.4 29.2 80.7 28.2 PF03137 SSF100895,SSF103473
G0MQT7     LSLS2++,3-++                 +   +  329-655 234-533  21-679 90.8 87.9 84.1 32.4 83.3 32.4 PF03137 SSF103473
A0A158PER3 LSLS2++,3-++                 +   +  329-655 188-462  21-614 80.2 81.6 77.7 25.7 78.2 25.7 PF03137 SSF103473
A0A8R1DYU3 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF100895,SSF103473
A0A8S1EJX5 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF100895,SSF103473
A0A8S1H0F6 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
