uniprot_id lasso_type                  145 461 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
Q93550     LSLS2++,3-++                 +   +  145-461 130-440  33-580 86.6 81.4 83.5 32.6 82.4 32.6 PF03137 SSF103473
A8WRK7     LSLS4++-+,3-++               +   +  145-461 140-450  33-591 84.0 76.6 80.1 31.3 78.8 29.5 PF03137 SSF103473
A0A2A6CFP3 LSLS2++,3-++                 +   +  145-461 134-443  37-584 86.6 83.6 81.0 25.8 80.3 25.8 PF03137 SSF103473
A0A2G5SAP0 LSLS2++,3-++                 +   +  145-461 130-440  33-581 84.2 74.2 82.5 33.4 81.2 30.0 PF03137 SSF103473
E3MMF1     LSLS2++,3-++                 +   +  145-461 130-440  33-580 83.4 74.9 82.4 35.2 81.3 30.6 PF03137 SSF103473
A0A2A2LRY4 LSLS4++-+,3-++               +   +  145-461 136-427  42-569 86.6 79.9 77.1 28.6 76.2 24.2 PF03137 SSF103473
G0MHZ3     LSLS2++,3-++                 +   +  145-461 130-440  33-580 81.8 74.8 82.2 34.3 80.9 32.8 PF03137 SSF103473
A0A261A0I1 LSLS2++,3-++                 +   +  145-461 130-440  33-580 84.0 77.9 82.0 31.9 80.9 31.6 PF03137 SSF103473
A0A2P4WJA9 LSLS2++,3-++                 +   +  145-461 130-440  33-580 83.3 74.2 82.3 38.3 81.2 30.0 PF03137 SSF103473
A0A1I7U0H2 LSLS2++,3-++                 +   +  145-461 130-440  33-581 84.5 76.0 82.5 32.3 81.2 32.3 PF03137 SSF103473
A0A261CQ88 LSLS2++,3-++                 +   +  145-461 130-440  33-580 84.3 77.5 82.7 35.0 81.6 31.6 PF03137 SSF103473
A0A6A5FX31 LSLS2++,3-++                 +   +  145-461 130-440  33-580 82.1 74.6 80.8 28.6 79.8 28.6 PF03137 SSF103473
A0A2G5SB74 -                            +   +     -       -       -    -    -    -    -    81.9 30.9 PF03137 SSF103473
A0A8R1HK37 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A8S1EEH8 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A8S1GX94 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
