uniprot_id lasso_type                  46 380 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A179HB98 LS4-++-C                     +   +   46-380  36-317  36-548 85.4 93.6 93.3 44.1 89.0 24.6 PF07687,PF01546 SSF55031,SSF53187
A0A168GXM7 LS4-++-C                     +   +   46-380  36-317  36-547 87.6 95.7 92.1 30.8 88.1 23.4 PF07687,PF01546 SSF55031,SSF53187
A0A2P4ZSC4 LS4-++-C                     +   +   46-380  38-319  38-545 83.6 95.0 94.1 43.9 90.0 19.8 PF07687,PF01546 SSF55031,SSF53187
A0A1Y2V453 LS4-++-C                     +   +   46-380  41-323  41-548 93.2 96.9 93.3 35.6 88.6 23.2 PF07687,PF01546 SSF55031,SSF53187
A0A1Y2W162 LS4-++-C                     +   +   46-380  41-323  41-543 91.9 96.0 94.6 56.6 89.8 23.2 PF07687,PF01546 SSF55031,SSF53187
A0A179HYE2 LS4-++-C                     +   +   46-380  36-317  36-544 86.4 94.8 93.4 44.4 89.2 23.8 PF07687,PF01546 SSF55031,SSF53187
A0A1Y2THN0 LS4-++-C                     +   +   46-380  41-323  41-548 93.3 96.8 93.3 37.2 89.0 24.0 PF07687,PF01546 SSF55031,SSF53187
A0A1Y2XCD9 LS4-++-C                     +   +   46-380  33-315  33-535 93.0 96.8 94.7 58.0 90.4 25.0 PF07687,PF01546 SSF55031,SSF53187
A0A2K0TMV5 LS4-++-C                     +   +   46-380  38-319  38-548 84.7 94.7 93.7 42.9 90.1 24.4 PF07687,PF01546 SSF55031,SSF53187
A0A2T3Z3C5 LS4-++-C                     +   +   46-380  38-319  38-548 85.5 95.9 94.1 47.3 90.1 20.5 PF07687,PF01546 SSF55031,SSF53187
A0A0A1TRE3 LS4-++-C                     +   +   46-380  41-322  41-548 91.6 96.6 93.9 32.7 89.9 25.3 PF07687,PF01546 SSF55031,SSF53187
A0A6V8QZX6 LS4-++-C                     +   +   46-380  38-319  38-545 85.4 96.4 94.4 47.7 90.4 23.4 PF07687,PF01546 SSF55031,SSF53187
G9N5R1     LS4-++-C                     +   +   46-380  35-316  35-541 92.0 96.6 94.2 43.6 90.7 22.1 PF07687,PF01546 SSF55031,SSF53187
G9NGL8     LS4-++-C                     +   +   46-380  38-319  38-545 85.0 95.4 93.9 41.4 89.9 23.2 PF07687,PF01546 SSF55031,SSF53187
A0A084RCW5 -                            -   -     -       -       -    -    -    -    -    82.5 22.5 PF01546 SSF53187
A0A1G4BQ32 -                            -   +     -       -       -    -    -    -    -    87.7 22.6 PF07687,PF01546 SSF55031,SSF53187
A0A4Q4T838 -                            +   +     -       -       -    -    -    -    -    70.8 17.4 PF01546 SSF53187
