uniprot_id lasso_type                  70 378 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A2H3GFS2 LS4-++-C                     +   +   70-378  42-327  42-558 91.3 94.2 93.2 42.3 89.2 25.2 PF07687,PF01546 SSF55031,SSF53187
A0A420T3I8 LS4-++-C                     +   +   70-378  42-327  42-558 90.6 93.8 92.8 40.6 88.5 22.2 PF07687,PF01546 SSF55031,SSF53187
A0A4U9F8Q0 LS4-++-C                     +   +   70-378  43-328  43-554 86.7 94.5 93.8 53.2 89.2 20.4 PF01546 SSF53187
N1RU22     LS4-++-C                     +   +   70-378  42-327  42-555 89.0 93.6 92.9 43.0 89.0 24.8 PF07687,PF01546 SSF55031,SSF53187
X0I3H9     LS4-++-C                     +   +   70-378  42-327  16-558 89.2 93.9 90.3 27.3 89.0 26.2 PF07687,PF01546 SSF55031,SSF53187
X0LLY6     LS4-++-C                     +   +   70-378  42-327  16-556 88.7 92.8 90.1 25.6 88.7 22.8 PF07687,PF01546 SSF55031,SSF53187
A0A2T3ZV96 LS4-++-C                     +   +   70-378  56-341  56-574 90.2 94.7 92.7 40.1 87.4 21.1 PF07687,PF01546 SSF55031,SSF53187
A0A428QJ31 LS4-++-C                     +   +   70-378  51-337  51-570 89.1 95.3 92.3 47.6 86.7 22.1 PF07687,PF01546 SSF55031,SSF53187
A0A4Q2VE26 LS4-++-C                     +   +   70-378  42-327  42-555 87.7 93.4 93.0 41.7 89.3 26.2 PF07687,PF01546 SSF55031,SSF53187
A0A559KWK4 LS4-++-C                     +   +   70-378  42-327  42-558 90.4 94.1 92.9 38.8 89.0 24.6 PF07687,PF01546 SSF55031,SSF53187
A0A5C6SMC9 LS4-++-C                     +   +   70-378  42-327  42-555 89.7 93.3 92.9 42.2 88.9 23.0 PF07687,PF01546 SSF55031,SSF53187
F9G947     LS4-++-C                     +   +   70-378  42-329  42-557 89.3 93.6 93.0 41.4 88.9 23.1 PF07687,PF01546 SSF55031,SSF53187
G9MV10     LS4-++-C                     +   +   70-378  42-327  42-560 86.0 94.4 92.3 30.9 88.3 24.1 PF07687,PF01546 SSF55031,SSF53187
W9NL79     LS4-++-C                     +   +   70-378  42-327  42-558 88.7 93.6 93.1 36.2 88.8 17.8 PF07687,PF01546 SSF55031,SSF53187
A0A024S275 LS4-++-C                     +   +   70-378  50-347  50-577 89.4 91.9 91.5 31.6 87.0 22.1 PF07687,PF01546 SSF55031,SSF53187
A0A0G0A0F1 LS4-++-C                     +   +   70-378  56-341  56-574 91.6 95.6 93.1 46.0 87.6 21.1 PF07687,PF01546 SSF55031,SSF53187
A0A0J0BZR0 LS4-++-C                     +   +   70-378  42-327  42-552 90.9 93.9 92.2 40.6 88.1 21.9 PF07687,PF01546 SSF55031,SSF53187
A0A3L6N6W5 -                            +   +   70-378  42-327  42-554 91.0 93.6 93.3 43.0 89.1 24.4 PF07687,PF01546 SSF55031,SSF53187
A0A3M2SPF1 -                            +   +   70-378  51-337  51-567 88.0 94.9 91.5 43.4 85.5 21.0 PF07687,PF01546 SSF55031,SSF53187
A0A430MB01 -                            +   +   70-378  51-337  51-570 88.6 95.1 91.7 48.8 85.7 20.0 PF07687,PF01546 SSF55031,SSF53187
G9NTY8     -                            +   +   70-378  41-325  41-530 65.3 64.2 87.2 34.5 83.5 26.4 PF07687,PF01546 SSF55031,SSF53187
K3VLV1     -                            +   +   70-378  43-333  43-559 86.2 93.5 91.3 40.2 87.0 22.0 PF01546 SSF53187
W9HX74     -                            +   +   70-378  42-327  42-557 90.6 93.6 93.5 41.3 89.3 21.8 PF07687,PF01546 SSF55031,SSF53187
W9K297     -                            +   +   70-378  42-327  42-558 90.9 94.4 93.2 42.3 89.3 25.7 PF07687,PF01546 SSF55031,SSF53187
X0L926     -                            +   +   70-378  42-327  42-558 90.1 93.6 93.1 43.3 88.9 22.1 PF07687,PF01546 SSF55031,SSF53187
A0A1T3CJL5 -                            +   +   70-378  56-341  56-574 86.1 94.1 92.7 40.6 87.0 20.7 PF07687,PF01546 SSF55031,SSF53187
A0A1V1SW52 -                            +   +   70-378  52-337  52-565 87.6 93.4 93.2 42.4 88.1 24.1 PF07687,PF01546 SSF55031,SSF53187
A0A2H3GD46 -                            +   +   70-378  43-328  43-550 87.5 94.8 94.0 52.5 89.4 21.0 PF01546 SSF53187
A0A2H3RX36 -                            +   +   70-378  42-327  42-557 90.6 94.1 93.1 39.6 89.0 22.3 PF07687,PF01546 SSF55031,SSF53187
