uniprot_id lasso_type                  4 22 157 218 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A7K4YP55 LS2++C                       -   +   -   +   22-218   1-181   1-232 90.6 95.1 97.6 89.7 92.2 37.6 PF00194 SSF51069
A0A7K9FER5 LS2++C                       -   +   -   +   22-218   1-181   1-232 91.1 97.1 97.8 87.6 93.3 38.7 PF00194 SSF51069
A0A7L0T439 LS2++C                       -   +   -   +   22-218   1-181   1-232 86.9 96.2 97.6 86.9 95.6 33.2 PF00194 SSF51069
A0A7K6P0N3 LS2++C                       -   +   -   +   22-218   1-181   1-232 84.2 91.9 96.4 61.8 96.2 61.8 PF00194 SSF51069
A0A7L0U849 LS2++C                       -   +   -   +   22-218   1-181   1-232 89.2 96.6 97.5 89.2 97.3 62.5 PF00194 SSF51069
A0A7L3TBH3 LS2++C                       -   +   -   +   22-218   1-181   1-232 89.2 95.8 97.7 89.2 97.4 63.1 PF00194 SSF51069
A0A7K4SVP2 LS2++C                       -   +   -   +   22-218   1-181   1-232 93.1 97.1 97.8 89.8 92.5 36.6 PF00194 SSF51069
A0A7K6U9Y8 LS2++C                       -   +   -   +   22-218   1-187   1-238 86.9 96.8 96.9 58.0 96.7 58.0 PF00194 SSF51069
A0A7K7U1K7 LS2++C                       -   +   -   +   22-218   1-181   1-232 92.1 96.3 97.7 90.8 89.6 31.9 PF00194 SSF51069
A0A7K8PIT5 LS2++C                       -   +   -   +   22-218   1-181   1-232 88.4 95.6 97.6 88.4 97.4 65.2 PF00194 SSF51069
A0A7L3S037 LS2++C                       -   +   -   +   22-218   1-181   1-232 88.8 96.6 97.6 88.8 97.4 63.0 PF00194 SSF51069
A0A7L3ULQ0 LS2++C                       -   +   -   +   22-218   1-181   1-232 85.6 96.2 97.6 85.6 97.4 63.5 PF00194 SSF51069
A0A7K5GYV8 LS2++C                       -   +   -   +   22-218   1-181   1-232 86.3 95.8 97.6 86.3 97.4 63.8 PF00194 SSF51069
A0A7K5XAV5 LS2++C                       -   +   -   +   22-218   1-181   1-232 91.0 97.0 97.7 89.8 93.3 37.9 PF00194 SSF51069
A0A7L1I9V9 LS2++C                       -   +   -   +   22-218   1-181   1-232 92.2 97.4 97.8 89.8 90.3 34.6 PF00194 SSF51069
A0A7L1X2A1 LS2++C                       -   +   -   +   22-218   1-181   1-232 92.8 96.8 97.7 90.2 89.7 30.3 PF00194 SSF51069
A0A7L2YRF4 LS2++C                       -   +   -   +   22-218   1-181   1-232 92.1 95.7 97.6 80.8 90.3 36.7 PF00194 SSF51069
A0A7L3N2A2 LS2++C                       -   +   -   +   22-218   1-181   1-232 92.0 96.4 97.7 91.5 90.5 36.9 PF00194 SSF51069
A0A091VB97 LS4-+++C                     +   +   +   +    4-157   5-109   5-221 39.6 74.7 81.7 32.0 72.9 23.6 PF00194 SSF51069
A0A093HZ18 LS2++C                       -   +   -   +   22-218  23-172  23-223 96.6 97.1 95.3 59.3 85.6 28.9 PF00194 SSF51069
A0A091I9T3 LS2++C                       -   +   -   +   22-218  23-192  23-243 94.0 90.4 83.9 22.8 80.7 22.8 PF00194 SSF51069
A0A093ICH4 -                            -   +   -   +   22-218  23-185  23-236 94.2 91.9 89.5 41.5 86.6 26.5 PF00194 SSF51069
A0A7K8THR3 -                            -   +   -   +     -       -       -    -    -    -    -    97.3 63.8 PF00194 SSF51069
A0A7L4MAA0 -                            -   +   -   +     -       -       -    -    -    -    -    97.3 63.2 PF00194 SSF51069
A0A7L1K291 -                            -   +   -   +     -       -       -    -    -    -    -    96.1 58.2 PF00194 SSF51069
A0A091L6P6 -                            -   +   -   +     -       -       -    -    -    -    -    86.0 26.3 PF00194 SSF51069
A0A093HMN0 -                            -   +   -   +     -       -       -    -    -    -    -    90.1 26.9 PF00194 SSF51069
