uniprot_id lasso_type                  216 630 653 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A813YH44 LSLS2++,3-++                 +   +   +  216-630 127-530  34-679 77.2 74.4 70.8 18.2 71.0 18.2 PF03137 SSF103473
A0A813YPD1 LSLS2++,3-++                 +   +   +  216-630 127-519  33-661 76.8 74.2 72.3 19.8 72.7 19.8 PF03137 SSF103473
A0A816DEK1 LSLS2++,3-++                 +   +   +  216-630 138-507  43-609 76.4 73.2 72.9 20.1 72.5 20.1 PF03137 SSF103473
A0A818JM09 LSLS4++-+,3-++               +   +   +  216-630 139-511  40-611 79.5 74.9 74.7 21.0 74.2 21.0 PF03137 SSF103473
A0A818NVN2 LSLS2++,3-++                 +   +   +  216-630 141-498  46-641 79.7 76.6 74.1 20.3 70.6 20.3 PF03137 SSF103473
A0A818ZP43 LSLS4++-+,2++                +   -   +  216-653 139-494  41-571 55.2 67.9 76.7 25.2 76.0 21.4 PF03137 SSF103473
A0A820CZH5 LSLS2++,3-++                 +   +   +  216-630 139-510  41-653 79.2 76.2 74.0 19.8 72.7 19.8 PF03137 SSF103473
A0A813NIK4 LSLS2++,3-++                 +   +   +  216-630 140-511  45-652 76.6 74.8 73.5 20.4 73.0 20.4 PF03137 SSF103473
A0A815N8X2 LSLS2++,3-++                 +   +   +  216-630 141-500  46-642 77.6 74.8 73.6 19.9 73.4 19.9 PF03137 SSF103473
A0A817F0U3 LSLS2++,3-++                 +   +   +  216-630 139-510  44-653 79.4 76.6 74.9 20.4 73.9 20.4 PF03137 SSF103473
A0A818N9Z1 LSLS2++,3-++                 +   +   +  216-630 140-492  45-634 77.8 75.6 74.3 21.0 73.4 21.0 PF03137 SSF103473
A0A818PKU2 LSLS2++,3-++                 +   +   +  216-630 144-501  49-643 80.1 76.4 74.8 19.5 73.9 19.5 PF03137 SSF103473
A0A818RNE3 LSLS2++,3-++                 +   +   +  216-630 144-501  49-644 79.4 77.3 74.8 19.7 74.0 19.7 PF03137 SSF103473
A0A819NWW5 LSLS2++,3-++                 +   +   +  216-630 140-511  45-612 76.8 74.6 73.3 19.4 73.2 19.4 PF03137 SSF103473
A0A821XLQ5 LSLS4++-+,3-++               +   +   +  216-630 139-507  44-608 79.4 76.2 75.4 24.4 74.8 21.8 PF03137 SSF103473
A0A814B6I2 LSLS4++-+,3-++               +   +   +  216-630 139-511  40-611 79.2 75.4 75.2 22.0 74.5 22.0 PF03137 SSF103473
A0A815Y5U8 LSLS4++-+,3-++               +   +   +  216-630 139-507  44-650 78.4 75.9 75.4 21.8 74.5 21.8 PF03137 SSF103473
A0A816D936 LSLS4++-+,3-++               +   +   +  216-630 138-507  43-608 75.7 73.0 74.1 19.7 73.6 19.7 PF03137 SSF100895,SSF103473
A0A816NNR9 LSLS2++,7-++-+-+             +   +   +  216-630 142-496  47-638 80.4 76.5 74.2 19.1 73.5 19.1 PF03137 SSF103473
A0A817ASH6 LSLS4++-+,3-++               +   +   +  216-630 143-519  45-661 81.0 77.9 74.6 22.1 73.1 22.1 PF03137 SSF103473
A0A820QA64 -                            +   +   +  216-630 139-514  41-657 81.2 77.8 75.0 20.2 74.1 20.2 PF03137 SSF103473
A0A821BFN4 -                            +   +   +  216-630 144-498  49-640 78.1 75.2 74.0 19.6 73.0 19.6 PF03137 SSF103473
A0A821P3U8 -                            +   +   +  216-630 141-498  42-640 79.1 76.0 73.5 19.3 73.0 19.3 PF03137 SSF103473
A0A815R867 -                            +   +   +  216-630 144-501  49-643 79.4 76.4 74.5 19.8 73.9 19.8 PF03137 SSF103473
A0A816DA31 -                            +   +   +  216-630 140-492  45-634 77.1 74.8 74.4 20.2 73.6 20.2 PF03137 SSF103473
A0A817A558 -                            +   +   +  216-630 142-496  47-637 79.8 76.4 73.6 18.4 72.8 18.4 PF03137 SSF103473
A0A817R7T1 -                            +   +   +  216-630 139-510  44-712 77.9 76.1 73.5 19.5 72.6 19.5 PF03137 SSF103473
A0A818FKI2 -                            +   +   +  216-630 140-511  45-612 75.4 73.6 72.4 18.4 72.3 18.4 PF03137 SSF103473
A0A818SNT7 -                            +   +   +  216-630 139-511  41-611 77.9 74.3 75.4 23.4 75.0 21.8 PF03137 SSF103473
A0A819DZJ0 -                            +   +   +  216-630 140-511  45-613 75.9 73.4 72.5 19.2 72.5 19.2 PF03137 SSF103473
A0A819MQD0 -                            +   +   +  216-630 140-494  45-637 77.9 75.5 74.2 19.6 74.1 19.6 PF03137 SSF103473
A0A813VKW7 -                            +   +   +  216-630 139-511  40-610 79.2 75.5 75.2 21.9 74.7 21.9 PF03137 SSF103473
A0A813WK80 -                            +   +   +  216-630 139-511  41-611 79.6 75.6 75.0 21.7 74.5 21.7 PF03137 SSF103473
A0A814JBL7 -                            +   +   +  216-630 138-492  44-634 78.4 76.7 75.2 20.6 75.3 20.6 PF03137 SSF103473
A0A814ZGA6 -                            +   +   +  216-630 143-519  47-662 81.4 78.2 74.7 21.6 73.1 21.6 PF03137 SSF103473
A0A815R7B1 -                            +   +   +  216-630 144-501  49-643 78.5 75.8 74.9 19.9 74.2 19.9 PF03137 SSF103473
A0A817PZG1 -                            +   +   +  216-630 144-498  49-640 76.9 73.7 73.8 19.3 72.9 19.3 PF03137 SSF103473
A0A819PPR8 -                            +   +   +  216-630 139-511  44-654 80.5 76.8 74.1 20.5 73.3 20.5 PF03137 SSF103473
A0A819UJQ4 -                            +   +   +  216-630 142-496  47-637 79.4 76.2 74.9 20.6 74.0 20.6 PF03137 SSF103473
A0A821HAW3 -                            +   +   +  216-630 144-498  51-640 77.8 74.2 73.7 18.8 72.9 18.8 PF03137 SSF103473
A0A822ALG1 -                            +   -   -     -       -       -    -    -    -    -    73.4 36.8 PF03137 SSF103473
A0A816Z6M5 -                            -   +   +     -       -       -    -    -    -    -    77.1 24.2 PF03137 SSF103473
A0A821QM26 -                            -   +   +     -       -       -    -    -    -    -    72.2 22.8 PF03137 SSF103473
A0A822BHI2 -                            -   +   +     -       -       -    -    -    -    -    79.1 25.7 PF03137 SSF100895,SSF103473
A0A822DVH2 -                            -   -   -     -       -       -    -    -    -    -    59.0 39.2 - -
A0A820D3Y2 -                            -   +   +     -       -       -    -    -    -    -    74.5 24.6 PF03137 -
A0A820D552 -                            -   +   +     -       -       -    -    -    -    -    71.1 24.1 PF03137 -
A0A822AKA0 -                            +   -   -     -       -       -    -    -    -    -    74.2 22.3 PF03137 SSF103473
A0A819VWK6 -                            +   +   +     -       -       -    -    -    -    -    -    -    PF01607,PF03137 SSF57625,SSF103473
A0A8S3JF75 -                            -   -   -     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A8S2PLJ2 -                            +   -   -     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A8S3EMA6 -                            -   -   -     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A8S2N9P6 -                            +   +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
