uniprot_id lasso_type                  129 411 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A511KPQ1 LS4-++-C                     +   +  129-411  79-358  79-561 94.4 97.1 96.1 68.8 87.4 23.9 PF07687,PF01546 SSF55031,SSF53187
A0A2T0ACV4 LS4-++-C                     +   +  129-411  95-374  95-574 94.4 97.1 95.9 75.4 86.2 26.9 PF07687,PF01546 SSF55031,SSF53187
A0A5C5FQ95 LS4-++-C                     +   +  129-411  74-353  74-556 88.1 95.3 95.7 80.0 88.3 26.1 PF07687,PF01546 SSF55031,SSF53187
A0A5C5FRV1 LS4-++-C                     +   +  129-411  76-355  76-555 93.4 96.5 95.9 79.8 88.3 27.5 PF07687,PF01546 SSF55031,SSF53187
A0A0D6ERC7 LS3-++C                      +   +  129-411 124-406 124-624 88.0 92.2 90.4 33.4 79.5 21.6 PF07687,PF01546 SSF55031,SSF53187
M7WPU1     LS4-++-C                     +   +  129-411  72-351  72-551 92.9 96.6 96.0 78.2 88.0 25.6 PF07687,PF01546 SSF55031,SSF53187
M7WHW6     LS4-++-C                     +   +  129-411  70-349  70-552 95.8 97.1 96.2 81.6 89.3 25.0 PF07687,PF01546 SSF55031,SSF53187
A0A061BF77 LS4-++-C                     +   +  129-411  72-351  72-551 93.2 96.2 95.7 68.0 87.8 25.1 PF07687,PF01546 SSF55031,SSF53187
A0A061B8E1 LS4-++-C                     +   +  129-411  70-349  70-552 90.6 95.0 95.6 78.2 88.3 24.7 PF07687,PF01546 SSF55031,SSF53187
A0A1Y2F3P1 LS4-++-C                     +   +  129-411  65-345  65-547 93.0 96.6 96.1 82.6 89.4 27.7 PF07687,PF01546 SSF53187
A0A511KPR0 -                            +   +     -       -       -    -    -    -    -    86.4 25.2 PF07687,PF01546 SSF55031,SSF53187
A0A2T0ACV2 -                            -   +     -       -       -    -    -    -    -    95.7 52.3 PF07687,PF01546 SSF55031,SSF53187
