uniprot_id lasso_type                  272 273 290 611 809 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
Q9XWC5     LSLS2++,3-++                 +   -   +   +   +  272-611 158-457  60-616 74.2 81.5 84.6 34.7 80.7 28.2 PF03137 SSF100895,SSF103473
A0A0R3RWW9 LSLS2++,3-++                 +   -   +   +   +  272-273 168-475  74-630 86.2 83.4 83.9 32.3 78.5 22.2 PF03137 SSF103473
A0A1I7VT15 LS3-++C                      +   -   +   +   +  272-273  48-355  48-510 85.2 82.3 83.3 46.6 80.4 26.8 PF03137 SSF103473
A0A238BY54 LSLS2++,3-++                 +   -   +   +   +  272-273 166-474  73-629 84.2 80.9 79.4 36.9 74.6 20.9 PF03137 SSF100895,SSF103473
A0A2P4VGU3 LSLS2++,3-++                 +   -   +   +   +  272-611 158-457  60-616 78.6 79.9 82.1 28.6 78.0 24.2 PF03137 SSF100895,SSF103473
A8WJB0     LSLS2++,3-++                 +   -   +   +   +  272-611 158-457  60-616 80.0 79.6 81.7 34.6 76.6 23.3 PF03137 SSF100895,SSF103473
A0A261A1T4 LSLS2++,3-++                 +   -   +   +   +  272-611 161-460  66-619 79.5 78.9 82.5 36.2 78.0 24.2 PF03137 SSF100895,SSF103473
A0A6V7VXD1 LSLS2++,3-++                 +   -   +   +   +  272-611 192-504 101-678 81.4 82.5 81.6 28.1 74.5 20.1 PF03137 SSF100895,SSF103473
A0A7E4WBR8 LSLS2++,3-++                 +   -   +   +   +  272-611 183-488  90-648 86.9 84.9 83.4 34.4 74.3 21.2 PF03137 SSF100895,SSF103473
A0A7I4NNC0 LSL2++,-1                    +   -   +   +   +  272-273 166-473  69-479 65.9 79.0 83.0 38.2 77.3 25.1 PF03137 SSF103473
A0A811KL38 LSLS2++,3-++                 +   -   +   +   +  272-611 165-473  74-632 81.7 81.1 82.7 31.6 77.6 22.6 PF03137 SSF100895,SSF103473
