uniprot_id lasso_type                  296 670 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A0V1HIU1 LSLS2++,3-++                 +   +  296-670 138-448  42-590 61.8 74.9 80.4 31.1 77.8 26.1 PF03137 SSF103473
A0A0V0ZYY9 LSLS2++,3-++                 +   +  296-670 160-471  63-612 63.7 76.4 79.6 23.9 75.6 23.9 PF03137 SSF103473
A0A0V0ZZ64 LSLS3+++,3-++                +   +  296-670 144-475  46-619 63.8 75.8 76.4 20.1 75.5 20.1 PF03137 SSF103473
A0A0V1HI12 LSLS2++,3-++                 +   +  296-670 140-469  43-612 56.9 76.6 76.8 21.4 76.0 21.4 PF03137 SSF103473
A0A077Z7T9 LSLS2++,3-++                 +   +  296-670 125-403  29-542 65.2 77.9 80.6 32.7 79.3 32.1 PF03137 SSF103473
A0A0V0XPJ9 LSLS2++,3-++                 +   +  296-670 140-451  44-592 62.1 75.4 80.5 26.1 78.0 25.4 PF03137 SSF103473
A0A0V1J6V5 LSLS2++,3-++                 +   +  296-670 140-479  45-627 57.8 71.8 75.8 24.8 73.6 23.9 PF03137 SSF103473
A0A0V0S9U5 LSLS2++,3-++                 +   +  296-670 159-470  63-612 60.1 72.1 79.6 24.6 75.7 24.2 PF03137 SSF103473
A0A0V1D7D8 LSLS3+++,3-++                +   +  296-670 144-475  46-618 62.5 76.0 76.8 20.9 75.5 20.9 PF03137 SSF103473
A0A0V1HIH5 LSLS2++,3-++                 +   +  296-670 138-448  41-548 58.8 74.2 79.0 25.0 74.6 23.3 PF03137 SSF103473
A0A0V1PCL8 LSLS3+++,3-++                +   +  296-670 144-476  45-619 61.8 76.1 76.4 21.0 75.4 21.0 PF03137 SSF103473
A0A085NB77 LSLS2++,3-++                 +   +  296-670 142-447  46-586 72.2 79.8 81.6 27.0 78.4 25.6 PF03137 SSF103473
A0A085M4W4 LSLS2++,3-++                 +   +  296-670 142-462  46-606 70.6 78.8 76.7 25.3 74.3 25.3 PF03137 SSF103473
A0A5S6QUN4 LSLS2++,3-++                 +   +  296-670 159-463  63-602 70.0 77.0 81.2 30.5 78.1 29.0 PF03137 SSF103473
A0A0V1PCL3 -                            +   +     -       -       -    -    -    -    -    67.6 20.9 PF03137 SSF103473
A0A0V0SA40 -                            +   +     -       -       -    -    -    -    -    75.6 21.8 PF03137 SSF103473
A0A0V0UU08 -                            +   +     -       -       -    -    -    -    -    75.8 22.5 PF03137 SSF103473
A0A1Y3F219 -                            +   +     -       -       -    -    -    -    -    73.8 21.5 PF03137 SSF103473
