uniprot_id lasso_type                  170 461 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A0L0P3E7 LS4-++-C                     +   +  170-461  50-336  50-561 89.4 95.2 95.9 83.4 91.4 29.6 PF07687,PF01546 SSF55031,SSF53187
A0A1E4RT81 LS4-++-C                     +   +  170-461  60-346  60-567 89.6 95.4 95.9 73.4 93.8 35.2 PF07687,PF01546 SSF53187
A0A367Y972 LS4-++-C                     +   +  170-461  55-341  55-565 90.4 96.1 95.4 65.4 93.3 42.1 PF07687,PF01546 SSF55031,SSF53187
A3GGI9     LS4-++-C                     +   +  170-461  57-343  57-568 89.2 94.1 95.1 71.4 90.7 28.0 PF07687,PF01546 SSF55031,SSF53187
C4YHE8     LS4-++-C                     +   +  170-461  55-341  55-567 86.9 93.2 95.2 66.2 91.5 36.8 PF07687,PF01546 SSF55031,SSF53187
A0A0V1Q4Y6 LS4-++-C                     +   +  170-461  55-341  55-561 89.3 93.1 95.5 80.2 92.4 39.3 PF07687,PF01546 SSF55031,SSF53187
A0A1A0H943 LS4-++-C                     +   +  170-461  52-338  52-562 90.7 95.3 95.7 80.3 93.0 39.6 PF07687,PF01546 SSF55031,SSF53187
A0A421JI67 LS4-++-C                     +   +  170-461  47-338  47-561 90.1 96.8 95.5 69.8 90.9 26.9 PF07687,PF01546 SSF53187
C5M2J1     LS4-++-C                     +   +  170-461  55-341  55-567 88.0 94.4 95.4 56.1 92.7 38.7 PF07687,PF01546 SSF55031,SSF53187
A0A1D8PLQ3 LS4-++-C                     +   +  170-461  55-341  55-567 91.1 95.2 95.7 78.3 93.5 43.6 PF07687,PF01546 SSF55031,SSF53187
A0A2P7YUZ7 LS4-++-C                     +   +  170-461  50-336  50-560 86.7 92.5 95.2 80.3 91.8 33.4 PF07687,PF01546 SSF55031,SSF53187
A0A4P6XJW5 LS4-++-C                     +   +  170-461  52-338  52-559 91.9 95.3 95.5 80.4 92.0 32.6 PF07687,PF01546 SSF55031,SSF53187
A0A642UDK6 LS4-++-C                     +   +  170-461  53-338  53-555 91.9 95.4 95.1 52.9 92.9 32.2 PF07687,PF01546 SSF55031,SSF53187
A5E443     LS4-++-C                     +   +  170-461  55-341  55-566 88.5 94.6 95.4 65.6 92.7 32.2 PF07687,PF01546 SSF53187
G3AIB4     LS4-++-C                     +   +  170-461  55-341  55-566 87.3 95.4 95.5 54.2 90.5 27.7 PF07687,PF01546 SSF55031,SSF53187
G8BI87     LS4-++-C                     +   +  170-461  56-342  56-569 90.4 95.6 95.5 57.9 93.3 39.0 PF07687,PF01546 SSF53187
M3JSY2     LS4-++-C                     +   +  170-461  55-341  55-565 90.1 95.2 95.2 67.9 92.4 31.9 PF07687,PF01546 SSF53187
A0A2V1A9T7 LS4-++-C                     +   +  170-461  50-336  50-557 90.4 94.2 95.2 75.3 92.5 34.2 PF07687,PF01546 SSF55031,SSF53187
A0A2V1AT35 LS4-++-C                     +   +  170-461  50-336  50-561 88.6 93.6 95.5 75.8 92.1 39.1 PF07687,PF01546 SSF55031,SSF53187
G8YCX5     -                            +   +  170-461  61-347  61-570 91.2 94.7 94.8 47.4 92.0 28.7 PF07687,PF01546 SSF55031,SSF53187
A0A1E4SFU1 -                            +   +  170-461  55-340  55-565 89.2 94.6 95.0 43.3 91.5 40.3 PF07687,PF01546 SSF55031,SSF53187
A0A2H1A7B3 -                            +   +  170-461  50-336  50-561 88.8 94.6 96.0 83.3 92.2 35.9 PF07687,PF01546 SSF55031,SSF53187
A0A4P6XTM2 -                            +   +  170-461  38-324  38-548 88.8 94.9 95.7 68.7 93.7 38.5 PF07687,PF01546 SSF55031,SSF53187
B9WFZ9     -                            +   +  170-461  55-341  55-567 88.6 94.3 95.4 66.7 92.2 38.5 PF07687,PF01546 SSF55031,SSF53187
C4YB72     -                            +   +  170-461  51-337  51-561 90.4 95.5 95.8 75.5 93.5 40.6 PF07687,PF01546 SSF53187
