uniprot_id lasso_type                  263 427 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A193BYP3 LS2--N                       +   +  263-427 252-415 148-415 96.8 95.8 96.0 78.4 91.3 32.6 PF13416 SSF53850
A0A1Q5BZH0 LS4--+-N                     +   +  263-427 252-415 145-415 97.6 96.4 96.3 68.6 92.5 33.4 PF01547 SSF53850
A0A1Q5N0Y2 LS2--N                       +   +  263-427 254-417 144-417 97.1 95.9 96.0 71.4 92.3 31.9 PF01547 SSF53850
A0A2N8MSL6 LS2--N                       +   +  263-427 252-415 148-415 96.9 95.6 95.5 67.2 92.0 34.3 PF13416 SSF53850
A0A3N1TA40 LS4--+-N                     +   +  263-427 252-415 148-415 97.2 96.1 96.1 66.3 92.2 32.1 PF01547 SSF53850
A0A429FIL4 LS2--N                       +   +  263-427 252-415 148-415 96.4 95.4 96.1 78.2 92.5 34.9 PF13416 SSF53850
A0A6B2TWZ2 LS2--N                       +   +  263-427 251-414 147-414 97.9 96.2 96.3 76.4 92.7 33.4 PF01547 SSF53850
A0A6N2HW98 LS2--N                       +   +  263-427 252-415 148-415 97.4 95.8 96.1 75.9 92.1 30.6 PF01547 SSF53850
A0A7K2Z452 LS2--N                       +   +  263-427 252-415 145-415 97.3 96.2 95.7 63.8 91.9 32.4 PF13416 SSF53850
F2R491     LS2--N                       +   +  263-427 252-415 145-415 97.1 96.4 96.5 67.2 92.8 31.6 PF01547 SSF53850
A0A154MXT8 LS4--+-N                     +   +  263-427 252-415 148-415 97.2 96.1 96.3 81.7 91.8 34.7 PF13416 SSF53850
A0A1C4RWE5 LS2--N                       +   +  263-427 252-415 144-415 97.5 95.9 96.4 69.4 92.6 32.1 PF13416 SSF53850
A0A1H2TU77 LS2--N                       +   +  263-427 252-415 145-415 96.2 95.6 95.4 64.6 92.0 36.9 PF01547 SSF53850
A0A1H7R7A5 LS2--N                       +   +  263-427 248-411 144-411 97.9 96.6 96.0 70.3 92.7 32.4 PF01547 SSF53850
A0A1R0KJD3 LS2--N                       +   +  263-427 252-415 148-415 97.1 95.9 96.3 80.9 92.5 33.3 PF13416 SSF53850
