uniprot_id lasso_type                  33 34 80 255 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
B7E3S3     LS2++C                       -   -   +   +   80-255  52-216  52-263 97.8 97.4 92.9 30.1 86.3 29.3 PF00194 SSF51069
Q7XVG9     LS2++C                       -   -   +   +   80-255  52-214  52-261 96.9 96.8 88.7 34.7 82.3 32.7 PF00194 SSF51069
A0A3B6MUC6 LS4-+++C                     +   -   +   +   33- 34   6-161   6-245 51.4 62.7 93.5 46.3 91.3 31.6 PF00194 SSF51069
B8ARK6     LS2++C                       -   -   +   +   80-255  52-216  52-263 97.4 97.4 92.3 36.1 85.4 31.6 PF00194 SSF51069
Q01IT4     LS2++C                       -   -   +   +   80-255  52-214  52-261 97.4 97.4 89.9 39.4 83.6 31.6 PF00194 SSF51069
A0A0D3FVM3 LS2++C                       -   -   +   +   80-255  52-212  52-259 97.2 97.2 89.8 44.2 83.5 31.8 PF00194 SSF51069
A0A0D9ZKH5 LS2++C                       -   -   +   +   80-255  52-216  52-263 97.5 97.7 92.5 42.3 85.6 33.0 PF00194 SSF51069
A0A0E0KQB0 LS2++C                       -   -   +   +   80-255  52-216  52-263 97.4 97.4 91.6 30.7 84.9 30.7 PF00194 SSF51069
A0A0E0P8W6 LS2++C                       -   -   +   +   80-255  52-214  52-261 96.6 96.4 88.5 36.0 82.2 31.6 PF00194 SSF51069
A0A2T7F786 LS2++C                       +   -   +   +   80-255  52-216  52-263 97.3 97.2 94.1 48.0 87.2 30.8 PF00194 SSF51069
A0A3L6RP26 LS2++C                       +   -   +   +   80-255  52-216  52-263 97.7 97.4 93.7 35.8 87.4 27.4 PF00194 SSF51069
A2XT75     LS2++C                       -   -   +   +   80-255  52-214  52-261 97.2 97.0 88.2 39.0 82.2 32.2 PF00194 SSF51069
C5YFV4     LS2++C                       +   +   +   +   80-255  61-231  61-278 97.4 97.5 93.0 51.4 84.7 30.5 PF00194 SSF51069
A0A0D9W4N4 LS2++C                       -   -   +   +   80-255  52-216  52-263 97.7 97.6 93.5 41.2 86.4 31.3 PF00194 SSF51069
A0A0E0DDV9 LS2++C                       -   -   +   +   80-255  52-216  52-263 97.8 97.8 92.5 41.8 85.7 32.4 PF00194 SSF51069
A0A453L7N2 LS2++C                       +   -   +   +   80-255  65-229  65-276 97.4 97.8 93.4 51.2 84.4 30.0 PF00194 SSF51069
A0A811QT47 LS2++C                       +   +   +   +   80-255  68-233  68-280 97.4 97.7 93.2 44.5 83.7 30.8 PF00194 SSF51069
I1PL21     LS2++C                       -   -   +   +   80-255  52-216  52-263 97.6 97.6 92.5 39.5 85.6 31.4 PF00194 SSF51069
A0A0E0H0H2 LS2++C                       -   -   +   +   80-255  52-214  52-261 97.2 97.2 88.6 34.5 82.4 31.0 PF00194 SSF51069
F2EKJ6     -                            +   -   +   +   80-255  56-220  56-267 97.6 97.8 94.6 49.4 86.8 28.2 PF00194 SSF51069
I1IXH8     -                            -   -   +   +   80-255  53-217  53-264 97.2 97.3 94.2 51.4 87.3 30.0 PF00194 SSF51069
A0A453L7N4 -                            +   -   +   -     -       -       -    -    -    -    -    79.2 22.9 PF00194 SSF51069
A0A8J8YC30 -                            -   -   +   +     -       -       -    -    -    -    -    -    -    PF00194 SSF51069
A0A8T0XLH7 -                            +   -   +   +     -       -       -    -    -    -    -    -    -    PF00194 SSF51069
A0A8R7QDX3 -                            +   -   +   +     -       -       -    -    -    -    -    -    -    PF00194 SSF51069
A0A8R7QGW4 -                            +   -   +   +     -       -       -    -    -    -    -    -    -    PF00194 SSF51069
A0A8T0X206 -                            +   -   +   -     -       -       -    -    -    -    -    -    -    PF00194 SSF51069
A0A921UBL5 -                            +   +   +   +     -       -       -    -    -    -    -    -    -    PF00194 SSF51069
