uniprot_id lasso_type                  350 555 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A442VPD8 LS4--+-N                     +   +  350-555 252-454 160-454 93.3 94.4 96.0 79.1 91.8 31.1 PF01547 SSF53850
A0A838B954 LS4--+-N                     +   +  350-555 250-452 158-452 90.8 93.2 95.5 73.2 92.2 32.7 PF01547 SSF53850
V7HCG0     LS4--+-N                     +   +  350-555 227-429 135-429 91.6 93.8 95.7 78.9 95.0 39.2 PF01547 SSF53850
X6HME6     LS4--+-N                     +   +  350-555 227-429 135-429 91.6 92.9 95.9 81.2 95.1 37.5 PF01547 SSF53850
X6JL21     LS4--+-N                     +   +  350-555 227-429 135-429 92.5 93.4 95.6 79.7 94.8 38.8 PF01547 SSF53850
A0A1Q4A8Q0 LS4--+-N                     +   +  350-555 205-407 113-407 92.2 94.2 95.7 80.1 95.1 78.1 PF01547 SSF53850
A0A442M2W7 LS4--+-N                     +   +  350-555 338-540 246-540 92.8 94.0 95.6 80.0 82.0 24.1 PF01547 SSF53850
A0A442T1U9 LS2--N                       +   +  350-555 252-454 160-454 92.8 93.5 96.0 79.2 91.9 31.9 PF01547 SSF53850
X5X6B2     LS4--+-N                     +   +  350-555 252-454 160-454 92.6 94.4 95.8 75.2 92.0 33.7 PF01547 SSF53850
A0A0E2N900 LS4--+-N                     +   +  350-555 227-429 135-429 90.4 92.2 95.9 81.1 95.0 36.8 PF01547 SSF53850
V7G9T4     LS4--+-N                     +   +  350-555 252-454 160-454 87.0 91.1 95.8 76.6 92.1 35.3 PF01547 SSF53850
V7H7G7     LS4--+-N                     +   +  350-555 227-429 135-429 70.4 65.1 93.4 51.2 92.4 39.4 PF01547 SSF53850
X5P080     LS4--+-N                     +   +  350-555 227-429 135-429 92.6 94.2 95.6 80.1 94.9 37.5 PF01547 SSF53850
X5VSD1     LS4--+-N                     +   +  350-555 252-454 160-454 92.6 94.0 95.6 79.2 91.8 33.5 PF01547 SSF53850
X5YHT6     LS4--+-N                     +   +  350-555 252-454 160-454 93.2 94.5 96.0 82.2 92.3 34.6 PF01547 SSF53850
X6BXS7     LS4--+-N                     +   +  350-555 227-429 135-429 93.1 94.5 96.1 83.4 95.3 39.6 PF01547 SSF53850
X6GDQ5     LS4--+-N                     +   +  350-555 252-454 160-454 93.2 94.2 96.1 83.2 92.3 34.0 PF01547 SSF53850
X6HIK3     LS4--+-N                     +   +  350-555 252-454 160-454 91.9 94.4 95.6 76.8 92.0 33.4 PF01547 SSF53850
A0A011U2H0 LS4--+-N                     +   +  350-555 241-443 149-443 92.5 95.1 95.7 80.8 93.1 34.5 PF01547 SSF53850
A0A0E2NZ44 LS4--+-N                     +   +  350-555 227-429 135-429 86.8 92.2 96.1 74.8 95.3 40.3 PF01547 SSF53850
A0A2W4PEM0 LS4--+-N                     +   +  350-555 313-515 221-515 71.9 67.3 93.6 55.0 82.5 25.6 PF01547 SSF53850
A0A3F2UCH4 -                            +   +  350-555 252-454 160-454 93.1 93.7 96.3 78.6 92.3 32.7 PF13416 SSF53850
A0A442W0P2 -                            +   +  350-555 252-454 160-454 92.9 94.5 96.2 81.8 91.9 29.9 PF01547 SSF53850
A0A442WEZ6 -                            +   +  350-555 252-454 160-454 92.5 93.8 95.9 79.4 91.7 30.5 PF01547 SSF53850
A0A526QA58 -                            +   +  350-555 252-454 160-454 92.8 93.8 96.0 80.4 91.8 32.8 PF01547 SSF53850
X5RGR7     -                            +   +  350-555 205-407 113-407 93.0 94.6 95.8 79.0 95.6 79.0 PF01547 SSF53850
X5YZG4     -                            +   +  350-555 252-454 160-454 91.0 93.0 95.1 79.2 91.5 34.0 PF01547 SSF53850
X5ZE88     -                            +   +  350-555 227-429 135-429 76.7 71.6 94.3 59.8 93.2 38.8 PF01547 SSF53850
A0A547N420 -                            +   +  350-555 250-452 158-452 90.8 93.4 95.8 78.7 92.4 36.3 PF01547 SSF53850
A0A829NGT6 -                            +   +  350-555 227-429 135-429 92.4 94.2 96.0 82.6 95.1 39.3 PF01547 SSF53850
V7F120     -                            +   +  350-555 252-454 160-454 86.2 91.6 95.4 74.2 91.8 34.1 PF01547 SSF53850
X5R3G4     -                            +   +  350-555 252-454 160-454 92.1 94.2 95.9 79.2 92.2 34.8 PF01547 SSF53850
X6GM74     -                            +   +  350-555 243-445 151-445 94.2 94.6 96.1 77.6 93.0 34.8 PF01547 SSF53850
X6IML5     -                            +   +  350-555 227-429 135-429 92.7 94.2 96.2 82.9 95.3 36.8 PF01547 SSF53850
X6J664     -                            +   +  350-555 227-429 135-429 91.7 93.8 96.0 80.2 95.2 38.9 PF01547 SSF53850
X6JHH4     -                            +   +  350-555 227-429 135-429 93.2 94.6 95.9 82.8 95.2 36.8 PF01547 SSF53850
X6K8I2     -                            +   +  350-555 252-454 160-454 92.5 93.8 95.1 69.8 91.7 35.9 PF01547 SSF53850
A0A450SN62 -                            -   -     -       -       -    -    -    -    -    90.2 35.6 PF01547 SSF53850
X5PIN7     -                            +   +     -       -       -    -    -    -    -    93.6 36.7 PF01547 SSF53850
X5UES6     -                            +   +     -       -       -    -    -    -    -    90.3 33.5 PF01547 SSF53850
A0A6J4XLB9 -                            -   -     -       -       -    -    -    -    -    90.6 33.6 PF13416 SSF53850
A0A942E5T9 -                            +   +     -       -       -    -    -    -    -    -    -    PF01547 SSF53850
A0A925MF34 -                            +   +     -       -       -    -    -    -    -    -    -    PF13416 SSF53850
A0A935U0B0 -                            +   +     -       -       -    -    -    -    -    -    -    PF13416 SSF53850
A0A9E7ATS0 -                            +   +     -       -       -    -    -    -    -    -    -    PF01547 SSF53850
