uniprot_id lasso_type                  134 547 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A813U5R0 LSLS2++,2++                  +   +  134-547 133-449  39-588 77.7 79.6 77.9 24.4 77.5 24.4 PF03137 SSF103473
A0A813XPM9 LSLS2++,2++                  +   +  134-547 133-449  39-589 78.2 79.5 78.2 21.5 77.4 21.5 PF03137 SSF103473
A0A814D8M4 LSLS2++,3-++                 +   +  134-547 134-439  40-581 71.9 75.3 79.2 30.6 78.6 26.6 PF03137 SSF103473
A0A815KFJ4 LSLS2++,3-++                 +   +  134-547 133-408  37-549 74.3 75.7 82.3 30.2 80.8 26.2 PF03137 SSF103473
A0A817MLN8 LSLS2++,3-++                 +   +  134-547 134-445  40-585 74.9 79.3 77.0 23.0 76.6 23.0 PF03137 SSF103473
A0A813SLF9 LSLS2++,3-++                 +   +  134-547 134-439  36-581 73.1 78.1 79.6 26.3 78.8 26.3 PF03137 SSF103473
A0A814BZH9 LSLS2++,2++                  +   +  134-547 133-452  39-591 78.1 79.3 77.6 23.9 77.1 23.9 PF03137 SSF103473
A0A815LKS9 LSLS2++,3-++                 +   +  134-547 133-408  37-549 75.8 76.2 82.3 30.6 81.2 25.2 PF03137 SSF103473
A0A818BUP1 LSLS2++,3-++                 +   +  134-547 134-424  39-564 76.4 73.8 80.0 24.4 79.9 24.4 PF03137 SSF100895,SSF103473
A0A821FRI7 LSLS2++,2++                  +   +  134-547 133-449  39-589 78.4 78.6 78.5 21.5 77.7 21.5 PF03137 SSF103473
A0A813YUP3 LSLS2++,2++                  +   +  134-547 133-452  39-591 76.8 79.1 77.4 24.3 76.9 24.3 PF03137 SSF103473
A0A814QR34 LSLS2++,3-++                 +   +  134-547 133-449  39-588 75.7 79.1 77.5 26.2 76.8 23.3 PF03137 SSF103473
A0A817DI36 LSLS2++,2++                  +   +  134-547 134-445  41-585 73.2 78.7 77.0 24.8 76.6 24.8 PF03137 SSF103473
A0A819E4M7 LSLS2++,2++                  +   +  134-547 133-452  39-591 77.8 79.0 77.7 23.6 77.0 23.6 PF03137 SSF103473
A0A819SN92 LSLS2++,3-++                 +   +  134-547 134-424  36-564 75.6 73.1 79.6 28.6 79.3 28.6 PF03137 SSF103473
A0A821PL06 LSLS2++,3-++                 +   +  134-547 134-424  36-564 76.6 73.6 80.6 24.0 80.4 24.0 PF03137 SSF100895,SSF103473
A0A813TQM3 LSLS2++,2++                  +   +  134-547 133-449  39-589 79.2 79.1 78.0 24.6 77.4 24.6 PF03137 SSF103473
A0A814APQ4 LSLS2++,3-++                 +   +  134-547 134-439  40-542 70.3 75.8 78.6 25.9 78.3 25.9 PF03137 SSF103473
A0A816DR40 LSLS2++,3-++                 +   +  134-547 133-408  37-549 72.9 75.6 82.5 30.7 81.4 25.9 PF03137 SSF103473
A0A819VKA9 LSLS2++,3-++                 +   +  134-547 134-424  36-564 76.8 74.0 80.1 27.4 79.9 27.4 PF03137 SSF103473
A0A818EIV1 LSLS2++,2++                  +   +  134-547 133-449  39-589 78.8 80.0 78.4 20.8 77.7 20.8 PF03137 SSF103473
A0A818JK42 LSLS2++,2++                  +   +  134-547 133-449  39-589 77.6 78.9 77.9 23.5 77.2 23.5 PF03137 SSF103473
A0A818RL71 LSLS2++,3-++                 +   +  134-547 134-439  36-581 72.1 78.0 79.1 25.0 78.3 25.0 PF03137 SSF103473
A0A818TT98 LSLS2++,3-++                 +   +  134-547 134-424  36-564 75.1 73.5 80.4 25.3 80.2 25.3 PF03137 SSF100895,SSF103473
A0A814DBC8 -                            +   +  134-547 134-382  41-485 59.6 70.7 72.6 24.9 73.1 24.9 PF03137 SSF103473
A0A816U2E3 -                            +   +  134-547 134-404  36-544 77.8 74.4 80.0 27.6 79.7 27.6 PF03137 SSF103473
A0A815LQZ2 -                            +   +  134-547 134-404  36-544 78.8 74.9 80.6 27.9 80.2 27.9 PF03137 SSF103473
A0A816N991 -                            +   +  134-547 134-404  36-544 76.5 73.6 79.6 26.7 79.2 26.7 PF03137 SSF103473
A0A816WB60 -                            +   +  134-547 134-404  36-544 77.6 74.4 79.4 28.1 79.0 28.1 PF03137 SSF103473
A0A819Q9N3 -                            -   +     -       -       -    -    -    -    -    82.7 31.2 PF03137 SSF103473
A0A821Q356 -                            -   -     -       -       -    -    -    -    -    79.3 44.3 PF03137 -
A0A818PPQ1 -                            -   -     -       -       -    -    -    -    -    61.7 46.6 - SSF103473
A0A813T210 -                            -   +     -       -       -    -    -    -    -    87.4 47.2 PF03137 SSF103473
A0A818I5G2 -                            -   -     -       -       -    -    -    -    -    84.4 40.5 PF03137 -
A0A819G1W8 -                            -   +     -       -       -    -    -    -    -    75.8 25.3 PF03137 SSF103473
A0A819SN00 -                            -   -     -       -       -    -    -    -    -    85.2 45.5 PF03137 SSF103473
A0A817QEP1 -                            -   -     -       -       -    -    -    -    -    68.7 43.3 PF03137 SSF103473
A0A8S2KVJ7 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A8S2IU34 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A8S2JTM1 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
