uniprot_id lasso_type                  167 470 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A067NID7 LS4-++-C                     +   +  167-470   7-290   7-525 85.9 93.8 92.9 41.3 92.4 34.4 PF07687,PF01546 SSF55031,SSF53187
A0A1C7MB27 LS4-++-C                     +   +  167-470  70-354  70-582 88.7 95.8 92.4 47.4 86.6 25.4 PF07687,PF01546 SSF55031,SSF53187
A0A409WL80 LS4-++-C                     +   +  167-470  65-342  65-571 87.8 94.2 91.5 34.6 85.3 27.2 PF07687,PF01546 SSF55031,SSF53187
A0A166HVR6 LS4-++-C                     +   +  167-470  75-358  75-584 93.5 96.6 94.5 62.1 89.2 29.7 PF07687,PF01546 SSF55031,SSF53187
A0A0D0CT71 LS4-++-C                     +   +  167-470  81-366  81-609 89.7 96.1 93.5 45.1 85.5 24.0 PF07687,PF01546 SSF55031,SSF53187
A0A0D0BFG6 LS4-++-C                     +   +  167-470  64-349  64-595 88.9 96.1 92.9 39.1 86.1 22.4 PF07687,PF01546 SSF55031,SSF53187
J4H4A4     LS4-++-C                     +   +  167-470  72-358  72-584 89.6 95.8 94.2 39.5 86.8 24.7 PF07687,PF01546 SSF55031,SSF53187
A0A6A4GXT1 LS4-++-C                     +   +  167-470  59-344  59-603 87.6 94.6 90.0 26.2 85.1 26.2 PF07687,PF01546 SSF55031,SSF53187
A0A146HDX6 LS4-++-C                     +   +  167-470  58-342  58-570 86.1 94.6 95.0 64.9 88.5 21.8 PF07687,PF01546 SSF55031,SSF53187
A0A146HG20 LS4-++-C                     +   +  167-470  58-342  58-572 85.6 95.1 94.4 43.0 88.8 28.0 PF07687,PF01546 SSF55031,SSF53187
A0A0D7AM49 LS4-++-C                     +   +  167-470  62-345  62-566 87.8 95.1 90.6 28.1 84.8 25.8 PF07687,PF01546 SSF55031,SSF53187
A0A6A4HDI0 LS4-++-C                     +   +  167-470  59-344  59-607 87.5 94.1 90.4 26.6 85.2 26.6 PF07687,PF01546 SSF55031,SSF53187
A0A164VTT0 LS4-++-C                     +   +  167-470  17-309  17-535 92.8 96.4 92.0 34.0 91.0 30.1 PF07687,PF01546 SSF55031,SSF53187
A0A550C493 LS4-++-C                     +   +  167-470  12-288  12-518 88.1 92.6 86.8 26.9 86.0 26.9 PF07687,PF01546 SSF55031,SSF53187
A0A0C3DT48 -                            +   +     -       -       -    -    -    -    -    81.9 22.8 PF07687,PF01546 SSF55031,SSF53187
A0A8H7DFX6 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
A0A8H5MFU0 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
A0A8H6WAZ9 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
A0A8H7DQ48 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
A0A8H6U2G7 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
A0A8H6T076 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF53187
A0A8H6YCR2 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
A0A8H7DF51 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
A0A8H6SYK5 -                            -   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
A0A8K0UIS7 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
