uniprot_id lasso_type                  79 365 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A2J6RBP5 LS4-++-C                     +   +   79-365  73-359  73-575 83.8 93.8 95.6 76.8 88.0 25.3 PF07687,PF01546 SSF55031,SSF53187
A0A3D8QJK9 LS4-++-C                     +   +   79-365  75-361  75-577 84.6 95.2 96.1 83.9 88.2 25.7 PF07687,PF01546 SSF55031,SSF53187
K1XH97     LS4-++-C                     +   +   79-365  68-343  68-562 89.4 96.5 94.3 42.0 87.6 27.4 PF07687,PF01546 SSF55031,SSF53187
A0A1L7XRW0 LS4-++-C                     +   +   79-365  72-358  72-574 86.7 94.5 95.5 56.2 88.9 29.7 PF07687,PF01546 SSF55031,SSF53187
A0A2J6TIG0 LS4-++-C                     +   +   79-365  73-359  73-575 84.5 95.3 95.9 74.4 88.8 28.0 PF07687,PF01546 SSF55031,SSF53187
A0A3E2H0P1 LS4-++-C                     +   +   79-365  71-326  71-543 87.4 95.1 87.3 31.2 80.0 24.5 PF07687,PF01546 SSF55031,SSF53187
A0A194XA10 LS4-++-C                     +   +   79-365  73-359  73-576 85.9 94.9 95.6 65.5 89.7 29.0 PF07687,PF01546 SSF55031,SSF53187
A0A3D8QZB9 LS4-++-C                     +   +   79-365  75-361  75-577 82.4 94.9 95.8 73.6 87.9 26.2 PF07687,PF01546 SSF55031,SSF53187
A0A0C3HBC1 LS4-++-C                     +   +   79-365  69-355  69-571 84.5 95.4 95.1 50.9 89.6 30.7 PF07687,PF01546 SSF55031,SSF53187
A0A2T3AZG5 LS4-++-C                     +   +   79-365  17-303  17-519 81.1 94.8 95.8 74.2 94.0 26.5 PF07687,PF01546 SSF55031,SSF53187
A0A2V1BIX5 -                            -   +     -       -       -    -    -    -    -    91.2 25.2 PF07687,PF01546 SSF55031,SSF53187
A0A2J6PYL1 -                            -   +     -       -       -    -    -    -    -    94.7 48.4 PF07687,PF01546 SSF55031,SSF53187
A0A8H7WU45 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF53187
A0A8T9C2E9 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
A0A8H7T144 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
A0A8S9BXG6 -                            +   +     -       -       -    -    -    -    -    -    -    PF07687,PF01546 SSF55031,SSF53187
