uniprot_id lasso_type                  87 216 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A7V8VVU8 LS2--C                       +   +   87-216  43-167  43-315 69.8 94.2 93.1 41.4 87.0 31.6 PF09084 SSF53850
A0A5C7JAP0 LS4--+-C                     +   +   87-216  43-166  43-319 54.9 95.8 91.7 31.7 85.3 27.4 PF13379 SSF53850
A0A5C7JBW0 LS2--C                       +   +   87-216  82-205  82-301 59.9 95.1 89.6 29.2 80.6 23.4 PF13379 SSF53850
A0A7V9VD25 LS4--+-C                     +   +   87-216  28-152  28-304 84.0 94.5 91.7 32.7 88.4 32.7 PF09084 SSF53850
A0A7V8X656 LS4--+-C                     +   +   87-216  38-162  38-311 85.4 94.7 94.3 43.8 89.0 33.8 PF13379 SSF53850
A0A7V9VUT6 LS4--+-C                     +   +   87-216  41-165  41-313 70.2 85.8 93.3 41.2 87.4 28.1 PF13379 SSF53850
A0A7V8WTW8 LS4--+-C                     +   +   87-216  33-157  33-305 84.6 95.2 93.8 45.0 89.5 33.5 PF13379 SSF53850
A0A7W0SCJ9 LS4--+-C                     +   +   87-216  47-171  47-321 90.2 96.2 94.0 40.8 87.4 31.9 PF13379 SSF53850
A0A838GGM3 LS4--+-C                     +   +   87-216  43-167  43-316 74.4 94.6 93.2 38.8 87.2 30.4 PF09084 SSF53850
A0A7V9KHT5 -                            +   +     -       -       -    -    -    -    -    86.6 30.2 PF09084 SSF53850
A0A6J4UME6 -                            +   +     -       -       -    -    -    -    -    84.9 27.3 PF13379 SSF53850
A0A956WFD8 -                            +   +     -       -       -    -    -    -    -    -    -    PF13379 SSF53850
