uniprot_id lasso_type                  302 632 bridge_aligned bridge lasso_range plddts(c1 c2 mean_local min_local mean_global min_global) Pfam SUPFAM
A0A0K0F0T7 LSLS2++,3-++                 +   +  302-632 251-567  22-715 90.4 88.9 81.6 23.6 80.0 23.6 PF03137 SSF103473
A0A0N5BGB6 LSLS2++,3-++                 +   +  302-632 251-567  22-715 90.2 88.8 81.7 22.2 80.1 22.2 PF03137 SSF103473
A0A1I7YHR0 LSLS2++,3-++                 +   +  302-632 246-555  21-703 92.6 90.8 82.6 27.4 81.6 27.4 PF03137 SSF103473
A0A0M3HXB5 LSLS2++,3-++                 +   +  302-632 240-556  17-703 89.6 87.4 81.3 27.4 80.5 27.4 PF03137 SSF100895,SSF103473
A0A0M3JSP2 LSLS2++,3-++                 +   +  302-632 239-549  21-695 88.9 87.9 77.3 26.2 76.4 25.1 PF03137 SSF100895,SSF103473
A0A0B2UUV6 LSLS2++,3-++                 +   +  302-632 240-556  21-703 91.6 88.9 80.8 22.9 80.0 22.9 PF03137 SSF100895,SSF103473
A0A0K0ECY9 LSLS2++,3-++                 +   +  302-632 235-551  22-699 91.2 89.8 81.5 26.3 80.6 26.3 PF03137 SSF103473
A0A0N4ZK40 LSLS2++,3-++                 +   +  302-632 250-566  21-713 90.0 88.1 82.4 27.9 81.0 27.9 PF03137 SSF103473
A0A4U5MSH3 LSLS2++,3-++                 +   +  302-632 244-543  22-691 92.1 89.3 83.5 30.1 82.2 26.4 PF03137 SSF100895,SSF103473
A0A0N4VH87 LLS+1,3-++                   +   +  302-632 217-491   5-637 90.4 88.9 82.3 23.2 81.7 23.2 PF03137 SSF100895,SSF103473
A0A0N5AUA4 -                            +   +     -       -       -    -    -    -    -    78.6 26.9 PF03137 SSF100895,SSF103473
A0A090KUG6 -                            +   +     -       -       -    -    -    -    -    79.0 24.4 PF03137 SSF103473
A0A914BVZ3 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF100895,SSF103473
A0A914CLE7 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A915ABA2 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A915A910 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A914DX70 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF100895,SSF103473
A0A914IQJ8 -                            +   +     -       -       -    -    -    -    -    -    -    PF03137 SSF103473
A0A915AB98 -                            -   +     -       -       -    -    -    -    -    -    -    PF03137 -
A0A915A789 -                            -   +     -       -       -    -    -    -    -    -    -    PF03137 SSF100895
